molecule_chembl_id,smiles,pref_name,mw,alogp,hbd,hba,tpsa,cns_mpo
CHEMBL2,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,PRAZOSIN,383.41,1.78,1,8,106.95,3.5
CHEMBL4,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,OFLOXACIN,361.37,1.54,1,6,75.01,4.0
CHEMBL5,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,NALIDIXIC ACID,232.24,1.42,1,4,72.19,4.5
CHEMBL6,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,INDOMETHACIN,357.79,3.93,1,4,68.53,4.0
CHEMBL403,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,SULBACTAM,233.24,-0.79,1,4,91.75,4.0
CHEMBL404,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,TAZOBACTAM,300.3,-1.52,1,7,122.46,3.5
CHEMBL8,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,CIPROFLOXACIN,331.35,1.58,2,5,74.57,4.5
CHEMBL9,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,NORFLOXACIN,319.34,1.27,2,5,74.57,4.5
CHEMBL405,CC(N)Cc1ccccc1,AMPHETAMINE,135.21,1.58,1,1,26.02,4.0
CHEMBL406,CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,INDAPAMIDE,365.84,2.08,2,4,92.5,3.5
CHEMBL408,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,TROGLITAZONE,441.55,4.37,2,6,84.86,3.5
CHEMBL409,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,BICALUTAMIDE,430.38,2.88,2,5,107.26,3.5
CHEMBL13,COCCc1ccc(OCC(O)CNC(C)C)cc1,METOPROLOL,267.37,1.61,2,4,50.72,4.0
CHEMBL411,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,DIETHYLSTILBESTROL,268.36,4.83,2,2,40.46,4.0
CHEMBL267936,CNC1(C)C2CCC(C2)C1(C)C,MECAMYLAMINE,167.3,2.42,1,1,12.03,4.0
CHEMBL14,C[N+](C)(C)CCOC(N)=O.[Cl-],CARBACHOL,147.2,-0.21,1,2,52.32,4.5
CHEMBL16,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,PHENYTOIN,252.27,1.77,2,2,58.2,4.5
CHEMBL17,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,DICHLORPHENAMIDE,305.16,0.29,2,4,120.32,3.5
CHEMBL18,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,ETHOXZOLAMIDE,258.32,1.34,1,5,82.28,4.5
CHEMBL19,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,METHAZOLAMIDE,236.28,-1.42,1,6,107.41,4.0
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1,ACETAZOLAMIDE,222.25,-0.86,2,6,115.04,4.0
CHEMBL419,NCc1ccc(S(N)(=O)=O)cc1,MAFENIDE,186.24,-0.21,2,3,86.18,4.5
CHEMBL21,Nc1ccc(S(N)(=O)=O)cc1,SULFANILAMIDE,172.21,-0.08,2,3,86.18,4.5
CHEMBL420,N=C(N)N/N=C/c1c(Cl)cccc1Cl,GUANABENZ,231.09,1.81,3,2,74.26,4.5
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,TRIMETHOPRIM,290.32,1.26,2,7,105.51,4.0
CHEMBL24,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,ATENOLOL,266.34,0.45,3,4,84.58,4.5
CHEMBL25,CC(=O)Oc1ccccc1C(=O)O,ASPIRIN,180.16,1.31,1,3,63.6,4.5
CHEMBL423,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,BETAXOLOL,307.43,2.39,2,4,50.72,3.5
CHEMBL425,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O,OLSALAZINE,302.24,2.91,4,6,139.78,3.0
CHEMBL27,CC(C)NCC(O)COc1cccc2ccccc12,PROPRANOLOL,259.35,2.58,2,3,41.49,4.5
CHEMBL6995,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,PRACTOLOL,266.34,1.38,3,4,70.59,4.5
CHEMBL29,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,PENICILLIN G,334.4,0.86,2,4,86.71,4.5
CHEMBL428,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,TROVAFLOXACIN,416.36,1.89,2,6,101.45,3.5
