names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,contrast,abs_logfc
SYTL3,8.942631,2.1953337,3.8001346317712716e-19,4.636290921915343e-15,0.8404255319148937,4/4,APOE4_vs_APOE3_LAM,2.1953337
NAMPT,8.95568,2.1889894,3.376484080263266e-19,4.636290921915343e-15,0.8882978723404256,4/4,APOE4_vs_APOE3_LAM,2.1889894
FAM110B,7.4392934,2.1439276,1.0122532302590278e-13,4.116608942301186e-10,0.675531914893617,4/4,APOE4_vs_APOE3_LAM,2.1439276
BASP1,8.114393,1.9461296,4.882197077148982e-16,3.3076027443282178e-12,0.7819148936170213,4/4,APOE4_vs_APOE3_LAM,1.9461296
PLXNC1,5.306303,1.9299297,1.1187097572636368e-07,7.44470833192843e-05,0.44680851063829785,4/4,APOE4_vs_APOE3_LAM,1.9299297
FOSL2,6.427619,1.8584684,1.296180850550488e-10,1.7710122356208943e-07,0.6170212765957447,4/4,APOE4_vs_APOE3_LAM,1.8584684
EYA2,3.60843,1.858218,0.00030805561699205245,0.04639976805566302,0.2978723404255319,4/4,APOE4_vs_APOE3_LAM,1.858218
PTK2B,7.0134754,1.7786444,2.3247018620259567e-12,5.317900803250753e-09,0.6914893617021277,4/4,APOE4_vs_APOE3_LAM,1.7786444
ELL2,10.69765,1.7290763,1.0439266761889244e-26,3.820876027519082e-22,0.9893617021276596,4/4,APOE4_vs_APOE3_LAM,1.7290763
LINC00278,3.930456,1.710053,8.478494586755437e-05,0.01650645640265084,0.3617021276595745,4/4,APOE4_vs_APOE3_LAM,1.710053
IQGAP2,5.74952,1.6792908,8.949728308062472e-09,8.399205277010116e-06,0.6276595744680851,4/4,APOE4_vs_APOE3_LAM,1.6792908
BCAT1,6.7796426,1.626747,1.204734532820059e-11,2.204724431787349e-08,0.7819148936170213,4/4,APOE4_vs_APOE3_LAM,1.626747
MYO10,5.038423,1.6104228,4.693832080067342e-07,0.0002489839825544127,0.4946808510638298,4/4,APOE4_vs_APOE3_LAM,1.6104228
PAPOLG,7.057722,1.6005743,1.6925436855561565e-12,4.424913673931492e-09,0.7393617021276596,4/4,APOE4_vs_APOE3_LAM,1.6005743
SH3BP5,5.384297,1.5815048,7.272828754624551e-08,5.323856104960264e-05,0.5585106382978723,4/4,APOE4_vs_APOE3_LAM,1.5815048
UBXN2B,8.509314,1.5716008,1.7496651927203446e-17,1.6009873929689334e-13,0.8297872340425532,4/4,APOE4_vs_APOE3_LAM,1.5716008
TFRC,5.07832,1.5634612,3.8078694698403136e-07,0.00021441820071634664,0.601063829787234,4/4,APOE4_vs_APOE3_LAM,1.5634612
EPB41L3,7.5043883,1.5622033,6.17160314666602e-14,2.823585584639038e-10,0.8617021276595744,4/4,APOE4_vs_APOE3_LAM,1.5622033
ERO1A,7.0205245,1.4966698,2.2103662172171637e-12,5.317900803250753e-09,0.7712765957446809,4/4,APOE4_vs_APOE3_LAM,1.4966698
LINC02649,5.8224144,1.4961504,5.8003535913334294e-09,5.737803832334996e-06,0.6436170212765957,4/4,APOE4_vs_APOE3_LAM,1.4961504
PFKFB3,7.89031,1.4858083,3.0143780629964785e-15,1.5761321640533446e-11,0.9361702127659575,4/4,APOE4_vs_APOE3_LAM,1.4858083
LPCAT1,6.2974286,1.4774,3.026233234766477e-10,3.819419400885787e-07,0.7074468085106383,4/4,APOE4_vs_APOE3_LAM,1.4774
FAM162A,5.545385,1.4731041,2.9330797088265473e-08,2.3538651135774318e-05,0.6648936170212766,4/4,APOE4_vs_APOE3_LAM,1.4731041
FAM13A,6.4264193,1.4621221,1.306448740792988e-10,1.7710122356208943e-07,0.9148936170212766,4/4,APOE4_vs_APOE3_LAM,1.4621221
PLAUR,5.4058957,1.4586163,6.448539022205323e-08,4.8167954439130006e-05,0.5851063829787234,4/4,APOE4_vs_APOE3_LAM,1.4586163
ARL17B,4.8204894,1.4060326,1.4320654081721856e-06,0.0005759892967528589,0.5372340425531915,4/4,APOE4_vs_APOE3_LAM,1.4060326
EPSTI1,4.365723,1.3627224,1.2670277438571847e-05,0.0034607822726057326,0.48404255319148937,4/4,APOE4_vs_APOE3_LAM,1.3627224
CD55,3.9235563,1.3624426,8.725132331614731e-05,0.016807819393127935,0.425531914893617,4/4,APOE4_vs_APOE3_LAM,1.3624426
PDE4B,6.198886,1.361867,5.686414317883706e-10,6.504014076526922e-07,0.8031914893617021,4/4,APOE4_vs_APOE3_LAM,1.361867
GTF2IRD1,4.859186,1.355958,1.1786912158644086e-06,0.0005075444375512143,0.5797872340425532,4/4,APOE4_vs_APOE3_LAM,1.355958
GNA12,5.0637712,1.3444493,4.1104316960308255e-07,0.0002245461350842153,0.6063829787234043,4/4,APOE4_vs_APOE3_LAM,1.3444493
CHD1,6.8175898,1.3397195,9.25804972901461e-12,1.783441463850862e-08,0.8085106382978723,4/4,APOE4_vs_APOE3_LAM,1.3397195
IRAK3,7.2065105,1.324473,5.740379078327553e-13,1.750863455382223e-09,0.851063829787234,4/4,APOE4_vs_APOE3_LAM,1.324473
BNC2,6.55286,1.3146852,5.6445556270678276e-11,8.347298549053039e-08,0.9042553191489362,4/4,APOE4_vs_APOE3_LAM,1.3146852
KCNMA1,4.997326,1.3095946,5.813073069979847e-07,0.00029966801047089065,0.925531914893617,4/4,APOE4_vs_APOE3_LAM,1.3095946
GPD2,6.5513597,1.300973,5.70155087911057e-11,8.347298549053039e-08,0.824468085106383,4/4,APOE4_vs_APOE3_LAM,1.300973
ZNF331,4.503863,1.2609459,6.672923683781767e-06,0.002069793896187258,0.6170212765957447,4/4,APOE4_vs_APOE3_LAM,1.2609459
DMXL2,5.1464148,1.2573882,2.6551181836914625e-07,0.00015425393752585906,0.6595744680851063,4/4,APOE4_vs_APOE3_LAM,1.2573882
ATP13A3,5.373048,1.2197498,7.741673119563907e-08,5.449095727868434e-05,0.7872340425531915,4/4,APOE4_vs_APOE3_LAM,1.2197498
KYNU,4.178687,1.2122736,2.9319645371991855e-05,0.006879027822181243,0.5691489361702128,4/4,APOE4_vs_APOE3_LAM,1.2122736
GPR183,3.9489045,1.2093366,7.850965818091471e-05,0.01596406666155366,0.5425531914893617,4/4,APOE4_vs_APOE3_LAM,1.2093366
GK,4.7736926,1.2075282,1.8087822482529744e-06,0.0006968762007190223,0.7393617021276596,4/4,APOE4_vs_APOE3_LAM,1.2075282
DPYD,7.21326,1.1986141,5.462786411065722e-13,1.750863455382223e-09,0.9148936170212766,4/4,APOE4_vs_APOE3_LAM,1.1986141
SDCBP,6.214635,1.17412,5.14440970567492e-10,6.276351321246925e-07,0.851063829787234,4/4,APOE4_vs_APOE3_LAM,1.17412
PDK3,5.543885,1.1707262,2.958328876931282e-08,2.3538651135774318e-05,0.6914893617021277,4/4,APOE4_vs_APOE3_LAM,1.1707262
BNIP3L,5.580632,1.1695669,2.3964562512731575e-08,1.9934703466556554e-05,0.8617021276595744,4/4,APOE4_vs_APOE3_LAM,1.1695669
SLC11A1,6.2060857,1.1693805,5.432059268463316e-10,6.413509718871801e-07,0.9095744680851063,4/4,APOE4_vs_APOE3_LAM,1.1693805
USP36,4.2034354,1.166558,2.628941251349683e-05,0.006248173944198036,0.5691489361702128,4/4,APOE4_vs_APOE3_LAM,1.166558
PCSK5,4.259681,1.1528522,2.0471862640856555e-05,0.005028796271932825,0.574468085106383,4/4,APOE4_vs_APOE3_LAM,1.1528522
NGLY1,5.360899,1.1491075,8.280887357717679e-08,5.718655814713675e-05,0.723404255319149,4/4,APOE4_vs_APOE3_LAM,1.1491075
