names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,contrast,abs_logfc
AC011586.2,38.09836,2.718554,0.0,0.0,0.24427248354862297,4/4,APOE4_vs_APOE3_allMicroglia,2.718554
TREML4,8.645647,2.109359,5.350132733322191e-18,2.3146596710676776e-16,0.055020716548866686,4/4,APOE4_vs_APOE3_allMicroglia,2.109359
AC011586.1,9.026154,1.9224211,1.7781248230310741e-19,8.19661796571289e-18,0.05806726785279064,4/4,APOE4_vs_APOE3_allMicroglia,1.9224211
DPYD,64.83172,1.3897965,0.0,0.0,0.8629051913234219,4/4,APOE4_vs_APOE3_allMicroglia,1.3897965
ADAMTS2,8.701803,1.31758,3.2665213850335816e-18,1.440457219441134e-16,0.07464050694613697,4/4,APOE4_vs_APOE3_allMicroglia,1.31758
SNTB1,7.8842335,1.2898186,3.1647220881872283e-15,1.1688394868793212e-13,0.06885205946868145,4/4,APOE4_vs_APOE3_allMicroglia,1.2898186
CPA6,25.108147,1.2847828,4.052188998200552e-139,1.9014637118351077e-136,0.2557884474774555,4/4,APOE4_vs_APOE3_allMicroglia,1.2847828
DIRC3,28.824348,1.2498257,1.0626150386050754e-182,9.486042201947406e-180,0.34688033146478187,4/4,APOE4_vs_APOE3_allMicroglia,1.2498257
TES,9.880004,1.2356148,5.083101405330357e-23,2.780965538662128e-21,0.08780160857908847,4/4,APOE4_vs_APOE3_allMicroglia,1.2356148
AL139351.3,8.382081,1.2020911,5.200017502601429e-17,2.1241723282669072e-15,0.07567633438947112,4/4,APOE4_vs_APOE3_allMicroglia,1.2020911
C5orf17,12.856477,1.1377054,7.910100374343401e-38,7.311050095993506e-36,0.1257007067999025,4/4,APOE4_vs_APOE3_allMicroglia,1.1377054
LINC00278,25.831673,1.1034575,3.9096701975469823e-147,2.0154625197241846e-144,0.3300633682671216,4/4,APOE4_vs_APOE3_allMicroglia,1.1034575
TNS1,9.708511,1.0972147,2.7735764770724685e-22,1.460657160249344e-20,0.09919571045576407,4/4,APOE4_vs_APOE3_allMicroglia,1.0972147
FOSL2,9.545075,1.096889,1.3600906779297629e-21,6.972083879958998e-20,0.09596636607360468,4/4,APOE4_vs_APOE3_allMicroglia,1.096889
NAMPT,25.440311,1.0648028,9.03650762741266e-143,4.530756379053846e-140,0.3502924689251767,4/4,APOE4_vs_APOE3_allMicroglia,1.0648028
LGALS3,7.220441,1.0195023,5.181924042130084e-13,1.6449575183521524e-11,0.07531074823300024,4/4,APOE4_vs_APOE3_allMicroglia,1.0195023
ARL4C,7.71821,1.0191973,1.1797472995287329e-14,4.2044723378822936e-13,0.07884474774555203,4/4,APOE4_vs_APOE3_allMicroglia,1.0191973
MSR1,42.73915,1.0002339,0.0,0.0,0.7057031440409457,4/4,APOE4_vs_APOE3_allMicroglia,1.0002339
SLC7A5,24.13182,0.9983228,1.158882540886948e-128,4.5123680722343806e-126,0.3102607847916159,4/4,APOE4_vs_APOE3_allMicroglia,0.9983228
FAM110B,28.338802,0.9801841,1.1501216602876097e-176,9.567182474587909e-174,0.4190226663417012,4/4,APOE4_vs_APOE3_allMicroglia,0.9801841
CD9,9.822245,0.96464366,9.03094804277144e-23,4.860907784021728e-21,0.1072995369242018,4/4,APOE4_vs_APOE3_allMicroglia,0.96464366
SPP1,38.408726,0.948182,0.0,0.0,0.8095905435047526,4/4,APOE4_vs_APOE3_allMicroglia,0.948182
FAM118A,27.273743,0.9363474,8.691719061388168e-164,6.002369988035252e-161,0.37783329271264926,4/4,APOE4_vs_APOE3_allMicroglia,0.9363474
PLXNC1,21.001007,0.93222225,6.421057910999257e-98,1.7804328833369986e-95,0.2821106507433585,4/4,APOE4_vs_APOE3_allMicroglia,0.93222225
PDE4B,40.01896,0.92742455,0.0,0.0,0.7344016573239094,4/4,APOE4_vs_APOE3_allMicroglia,0.92742455
UTY,24.778912,0.9254194,1.5134148513301577e-135,6.6737948160885666e-133,0.36650012186205216,4/4,APOE4_vs_APOE3_allMicroglia,0.9254194
DDX3Y,11.998963,0.9228062,3.597745024748072e-33,2.8318508742108427e-31,0.14020229100658055,4/4,APOE4_vs_APOE3_allMicroglia,0.9228062
CD163,27.984907,0.91958475,2.4803831480551413e-172,1.931585183020558e-169,0.5106019985376554,4/4,APOE4_vs_APOE3_allMicroglia,0.91958475
P2RY8,11.451974,0.9122217,2.298519078582644e-30,1.6240945327259334e-28,0.1341701194248111,4/4,APOE4_vs_APOE3_allMicroglia,0.9122217
TPRG1,20.522629,0.89582324,1.3520167288795982e-93,3.5346545924087267e-91,0.3004508895929807,4/4,APOE4_vs_APOE3_allMicroglia,0.89582324
GPNMB,17.221066,0.893904,1.8455690167604842e-66,3.446411815431147e-64,0.23689982939312698,4/4,APOE4_vs_APOE3_allMicroglia,0.893904
SH3BP5,11.196727,0.891735,4.2307692539602525e-29,2.8517566383830424e-27,0.1414818425542286,4/4,APOE4_vs_APOE3_allMicroglia,0.891735
EYA2,11.430091,0.8852436,2.9579965123868542e-30,2.0820313528821395e-28,0.14434560077991712,4/4,APOE4_vs_APOE3_allMicroglia,0.8852436
PAX8-AS1,22.798857,0.88409317,4.706370370703155e-115,1.580347357230332e-112,0.31671947355593466,4/4,APOE4_vs_APOE3_allMicroglia,0.88409317
ACSL1,41.16736,0.8699368,0.0,0.0,0.7827199610041433,4/4,APOE4_vs_APOE3_allMicroglia,0.8699368
PTPN22,7.096251,0.862179,1.2818673512626885e-12,3.9526223187502667e-11,0.08353643675359493,4/4,APOE4_vs_APOE3_allMicroglia,0.862179
ALOX15B,16.718317,0.8553847,9.640193878509641e-63,1.6487884866697725e-60,0.22288569339507677,4/4,APOE4_vs_APOE3_allMicroglia,0.8553847
LSP1,9.185348,0.8491142,4.1020048375121417e-20,1.9728972280917464e-18,0.1087618815500853,4/4,APOE4_vs_APOE3_allMicroglia,0.8491142
SPON1,12.24131,0.8062633,1.8698863989207059e-34,1.5519209089999264e-32,0.17682183767974652,4/4,APOE4_vs_APOE3_allMicroglia,0.8062633
PGK1,27.13101,0.7923685,4.242236418225392e-162,2.823092638972138e-159,0.47501827930782353,4/4,APOE4_vs_APOE3_allMicroglia,0.7923685
CEMIP2,18.336267,0.78989714,4.250011976192337e-75,9.043877229105566e-73,0.29076285644650257,4/4,APOE4_vs_APOE3_allMicroglia,0.78989714
AC007262.2,27.75319,0.7871841,1.594711004195621e-169,1.2160003638450816e-166,0.5506336826712162,4/4,APOE4_vs_APOE3_allMicroglia,0.7871841
HIF1A-AS3,21.194307,0.7865985,1.0777130172583871e-99,3.034259549590325e-97,0.37417743114794055,4/4,APOE4_vs_APOE3_allMicroglia,0.7865985
LILRB3,12.606313,0.78639185,1.949008946722644e-36,1.6944341201661638e-34,0.1675603217158177,4/4,APOE4_vs_APOE3_allMicroglia,0.78639185
RGS1,24.235903,0.78314954,9.311481146987927e-130,3.7044513202272296e-127,0.5065196197903973,4/4,APOE4_vs_APOE3_allMicroglia,0.78314954
PADI2,30.236582,0.77996665,7.832309098452485e-201,8.958448291014357e-198,0.6322812576163782,4/4,APOE4_vs_APOE3_allMicroglia,0.77996665
USP9Y,19.29195,0.7682672,6.276145526418189e-83,1.501393479819818e-80,0.3209237143553497,4/4,APOE4_vs_APOE3_allMicroglia,0.7682672
ARL17B,21.96428,0.7560023,6.325259903804325e-107,1.9957830839581215e-104,0.3783207409212771,4/4,APOE4_vs_APOE3_allMicroglia,0.7560023
RAB20,21.875761,0.7540378,4.420678647383623e-106,1.371197111634644e-103,0.3819156714599074,4/4,APOE4_vs_APOE3_allMicroglia,0.7540378
BNIP3L,28.858957,0.75127435,3.911582462546757e-183,3.5791957427918463e-180,0.574396782841823,4/4,APOE4_vs_APOE3_allMicroglia,0.75127435
