names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,contrast
SORL1,122.57297,4.7986155,0.0,0.0,0.9675181241504305,Micro-PVM_2,DAM_vs_Homeostatic
NAV3,118.4368,4.146546,0.0,0.0,0.933896409152696,Micro-PVM_2,DAM_vs_Homeostatic
EPB41L2,114.8591,3.15859,0.0,0.0,0.9733022768463978,Micro-PVM_2,DAM_vs_Homeostatic
FRMD4A,114.43986,2.2079406,0.0,0.0,0.9956884345265066,Micro-PVM_2,DAM_vs_Homeostatic
ABCC4,109.31027,4.3669662,0.0,0.0,0.8785186338921613,Micro-PVM_2,DAM_vs_Homeostatic
ST6GAL1,108.08267,2.74185,0.0,0.0,0.9698969188944269,Micro-PVM_2,DAM_vs_Homeostatic
FOXP2,107.175606,5.4118166,0.0,0.0,0.8109778545536928,Micro-PVM_2,DAM_vs_Homeostatic
SYNDIG1,107.13179,5.8062396,0.0,0.0,0.7808393747168102,Micro-PVM_2,DAM_vs_Homeostatic
APBB1IP,105.68629,2.803348,0.0,0.0,0.9601551880380608,Micro-PVM_2,DAM_vs_Homeostatic
PLXDC2,105.26591,1.457442,0.0,0.0,0.998994676030811,Micro-PVM_2,DAM_vs_Homeostatic
LINC02232,103.43735,5.8537545,0.0,0.0,0.7472247394653375,Micro-PVM_2,DAM_vs_Homeostatic
C3,103.069855,4.656501,0.0,0.0,0.8289745695514272,Micro-PVM_2,DAM_vs_Homeostatic
IPCEF1,102.271645,4.922113,0.0,0.0,0.787196986859991,Micro-PVM_2,DAM_vs_Homeostatic
HS3ST4,101.286476,4.4373045,0.0,0.0,0.86217857951971,Micro-PVM_2,DAM_vs_Homeostatic
RNASET2,101.2378,3.0112352,0.0,0.0,0.9391778998640689,Micro-PVM_2,DAM_vs_Homeostatic
DOCK8,100.72598,2.0783308,0.0,0.0,0.9761412550974173,Micro-PVM_2,DAM_vs_Homeostatic
LHFPL2,99.77741,3.131546,0.0,0.0,0.9182784888989579,Micro-PVM_2,DAM_vs_Homeostatic
P2RY12,98.6451,4.675472,0.0,0.0,0.766694041685546,Micro-PVM_2,DAM_vs_Homeostatic
KCNQ3,98.03813,3.811892,0.0,0.0,0.903106592659719,Micro-PVM_2,DAM_vs_Homeostatic
SRGAP2,95.94233,1.7499137,0.0,0.0,0.9817484141368373,Micro-PVM_2,DAM_vs_Homeostatic
FAM149A,94.93363,4.522356,0.0,0.0,0.7544673198912552,Micro-PVM_2,DAM_vs_Homeostatic
MEF2A,94.68359,1.4232794,0.0,0.0,0.9904919007702764,Micro-PVM_2,DAM_vs_Homeostatic
PALD1,94.14325,2.9631143,0.0,0.0,0.8800974173085636,Micro-PVM_2,DAM_vs_Homeostatic
OXR1,93.19355,2.8173091,0.0,0.0,0.9121332691436339,Micro-PVM_2,DAM_vs_Homeostatic
ADAM28,92.201294,3.056405,0.0,0.0,0.9434045083824196,Micro-PVM_2,DAM_vs_Homeostatic
ANKRD44,91.48378,2.3235683,0.0,0.0,0.9438576121431808,Micro-PVM_2,DAM_vs_Homeostatic
LPCAT2,91.19011,3.0072792,0.0,0.0,0.8655980969642048,Micro-PVM_2,DAM_vs_Homeostatic
BHLHE41,90.38861,3.9271636,0.0,0.0,0.7527115428183054,Micro-PVM_2,DAM_vs_Homeostatic
DLEU1,89.56828,2.5988927,0.0,0.0,0.9361123697326688,Micro-PVM_2,DAM_vs_Homeostatic
TMEM156,88.32419,4.7333884,0.0,0.0,0.6703316153149071,Micro-PVM_2,DAM_vs_Homeostatic
MCF2L,87.93162,4.1458516,0.0,0.0,0.699988672405981,Micro-PVM_2,DAM_vs_Homeostatic
PCNX2,87.53125,3.306189,0.0,0.0,0.8173425464431355,Micro-PVM_2,DAM_vs_Homeostatic
RASSF8,86.1965,4.0984297,0.0,0.0,0.7159676597190757,Micro-PVM_2,DAM_vs_Homeostatic
IL6ST,86.12762,2.647271,0.0,0.0,0.8552829066606252,Micro-PVM_2,DAM_vs_Homeostatic
DOCK10,86.05418,2.7395227,0.0,0.0,0.9038074875396466,Micro-PVM_2,DAM_vs_Homeostatic
ITPR2,85.36858,1.4801908,0.0,0.0,0.9817484141368373,Micro-PVM_2,DAM_vs_Homeostatic
GLDN,85.01194,4.1735764,0.0,0.0,0.6961939284096058,Micro-PVM_2,DAM_vs_Homeostatic
SDK1,84.878525,3.7889435,0.0,0.0,0.7748145106479384,Micro-PVM_2,DAM_vs_Homeostatic
IGSF21,84.744736,3.5404196,0.0,0.0,0.8022768463978251,Micro-PVM_2,DAM_vs_Homeostatic
ST6GALNAC3,84.13171,3.3381653,0.0,0.0,0.8503200045310376,Micro-PVM_2,DAM_vs_Homeostatic
CYFIP1,83.41695,2.2766652,0.0,0.0,0.8802673312188491,Micro-PVM_2,DAM_vs_Homeostatic
ARHGAP22,83.39658,2.391203,0.0,0.0,0.9064836316266425,Micro-PVM_2,DAM_vs_Homeostatic
BLNK,83.00516,3.0805657,0.0,0.0,0.7885633778885365,Micro-PVM_2,DAM_vs_Homeostatic
DOCK4,81.79005,1.293672,0.0,0.0,0.9967716357045764,Micro-PVM_2,DAM_vs_Homeostatic
KHDRBS3,80.89194,3.236403,0.0,0.0,0.7495893747168102,Micro-PVM_2,DAM_vs_Homeostatic
RUNX2,80.03551,3.192904,0.0,0.0,0.777979157227005,Micro-PVM_2,DAM_vs_Homeostatic
AL392172.2,79.483376,3.301249,0.0,0.0,0.7772570231082918,Micro-PVM_2,DAM_vs_Homeostatic
CX3CR1,79.19131,5.22889,0.0,0.0,0.5698558563661078,Micro-PVM_2,DAM_vs_Homeostatic
TLN2,78.952415,3.5044332,0.0,0.0,0.6803777752605347,Micro-PVM_2,DAM_vs_Homeostatic
SPATA13,78.26758,3.5280864,0.0,0.0,0.68189284096058,Micro-PVM_2,DAM_vs_Homeostatic
RASGEF1C,78.11593,4.7313204,0.0,0.0,0.5859976778432261,Micro-PVM_2,DAM_vs_Homeostatic
JAZF1,77.33964,2.2619653,0.0,0.0,0.9052375962845491,Micro-PVM_2,DAM_vs_Homeostatic
A2M,77.24946,2.94133,0.0,0.0,0.7642656887177164,Micro-PVM_2,DAM_vs_Homeostatic
SPP1,76.166855,3.8202305,0.0,0.0,0.7564992070684187,Micro-PVM_2,DAM_vs_Homeostatic
CACNA1A,75.67208,3.0563283,0.0,0.0,0.7139924105120072,Micro-PVM_2,DAM_vs_Homeostatic
LNCAROD,75.38691,3.4130728,0.0,0.0,0.8450809922972361,Micro-PVM_2,DAM_vs_Homeostatic
SRGAP2B,75.367325,2.0151076,0.0,0.0,0.8978463411871318,Micro-PVM_2,DAM_vs_Homeostatic
TIAM1,74.738235,2.8707755,0.0,0.0,0.7322439963751699,Micro-PVM_2,DAM_vs_Homeostatic
FMNL3,74.05577,2.654593,0.0,0.0,0.7629134571816946,Micro-PVM_2,DAM_vs_Homeostatic
TENM4,73.97119,3.1957064,0.0,0.0,0.675542308563661,Micro-PVM_2,DAM_vs_Homeostatic
SFMBT2,73.69754,1.6571208,0.0,0.0,0.9725447439963751,Micro-PVM_2,DAM_vs_Homeostatic
INPP5D,73.418076,1.8027359,0.0,0.0,0.9186183167195288,Micro-PVM_2,DAM_vs_Homeostatic
FYB1,73.26554,2.021561,0.0,0.0,0.9327848889895786,Micro-PVM_2,DAM_vs_Homeostatic
KCNIP1,72.15918,4.667611,0.0,0.0,0.5395474626189397,Micro-PVM_2,DAM_vs_Homeostatic
CHST11,71.79203,1.4530118,0.0,0.0,0.9773094132306298,Micro-PVM_2,DAM_vs_Homeostatic
IFNGR1,71.635315,2.2429283,0.0,0.0,0.8121176937018577,Micro-PVM_2,DAM_vs_Homeostatic
LINC01141,70.25222,5.388344,0.0,0.0,0.4967999546896239,Micro-PVM_2,DAM_vs_Homeostatic
FOXN3,69.391396,1.2098687,0.0,0.0,0.9821307204349796,Micro-PVM_2,DAM_vs_Homeostatic
SHTN1,69.28378,1.8926066,0.0,0.0,0.8626812415043045,Micro-PVM_2,DAM_vs_Homeostatic
MAML3,68.462906,1.9284089,0.0,0.0,0.949054145899411,Micro-PVM_2,DAM_vs_Homeostatic
