names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,contrast,abs_logfc
LINC02712,53.24279,6.873434,0.0,0.0,0.36181751246035343,Micro-PVM_2,DAM_vs_Homeostatic,6.873434
LINC02232,103.43735,5.8537545,0.0,0.0,0.7472247394653375,Micro-PVM_2,DAM_vs_Homeostatic,5.8537545
SYNDIG1,107.13179,5.8062396,0.0,0.0,0.7808393747168102,Micro-PVM_2,DAM_vs_Homeostatic,5.8062396
FOXP2,107.175606,5.4118166,0.0,0.0,0.8109778545536928,Micro-PVM_2,DAM_vs_Homeostatic,5.4118166
LINC01141,70.25222,5.388344,0.0,0.0,0.4967999546896239,Micro-PVM_2,DAM_vs_Homeostatic,5.388344
CX3CR1,79.19131,5.22889,0.0,0.0,0.5698558563661078,Micro-PVM_2,DAM_vs_Homeostatic,5.22889
IPCEF1,102.271645,4.922113,0.0,0.0,0.787196986859991,Micro-PVM_2,DAM_vs_Homeostatic,4.922113
LINC02057,25.898613,4.881719,6.903777333302088e-148,3.5539402837720074e-146,0.18131938151336657,Micro-PVM_2,DAM_vs_Homeostatic,4.881719
SORL1,122.57297,4.7986155,0.0,0.0,0.9675181241504305,Micro-PVM_2,DAM_vs_Homeostatic,4.7986155
AC008691.1,52.360287,4.788323,0.0,0.0,0.38094698685999095,Micro-PVM_2,DAM_vs_Homeostatic,4.788323
TMEM156,88.32419,4.7333884,0.0,0.0,0.6703316153149071,Micro-PVM_2,DAM_vs_Homeostatic,4.7333884
RASGEF1C,78.11593,4.7313204,0.0,0.0,0.5859976778432261,Micro-PVM_2,DAM_vs_Homeostatic,4.7313204
ADAMTSL2,37.711067,4.7208543,0.0,0.0,0.2674090960579973,Micro-PVM_2,DAM_vs_Homeostatic,4.7208543
P2RY12,98.6451,4.675472,0.0,0.0,0.766694041685546,Micro-PVM_2,DAM_vs_Homeostatic,4.675472
KCNIP1,72.15918,4.667611,0.0,0.0,0.5395474626189397,Micro-PVM_2,DAM_vs_Homeostatic,4.667611
C3,103.069855,4.656501,0.0,0.0,0.8289745695514272,Micro-PVM_2,DAM_vs_Homeostatic,4.656501
FAM149A,94.93363,4.522356,0.0,0.0,0.7544673198912552,Micro-PVM_2,DAM_vs_Homeostatic,4.522356
HS3ST4,101.286476,4.4373045,0.0,0.0,0.86217857951971,Micro-PVM_2,DAM_vs_Homeostatic,4.4373045
ABCC4,109.31027,4.3669662,0.0,0.0,0.8785186338921613,Micro-PVM_2,DAM_vs_Homeostatic,4.3669662
C12orf75,46.07595,4.272446,0.0,0.0,0.3379870865428183,Micro-PVM_2,DAM_vs_Homeostatic,4.272446
SALL1,31.054995,4.239448,9.768208599647006e-212,6.784178424206453e-210,0.22385449705482555,Micro-PVM_2,DAM_vs_Homeostatic,4.239448
AC087564.1,59.311653,4.2329063,0.0,0.0,0.44896210919800633,Micro-PVM_2,DAM_vs_Homeostatic,4.2329063
GLDN,85.01194,4.1735764,0.0,0.0,0.6961939284096058,Micro-PVM_2,DAM_vs_Homeostatic,4.1735764
NAV3,118.4368,4.146546,0.0,0.0,0.933896409152696,Micro-PVM_2,DAM_vs_Homeostatic,4.146546
MCF2L,87.93162,4.1458516,0.0,0.0,0.699988672405981,Micro-PVM_2,DAM_vs_Homeostatic,4.1458516
RASSF8,86.1965,4.0984297,0.0,0.0,0.7159676597190757,Micro-PVM_2,DAM_vs_Homeostatic,4.0984297
LINC01268,45.993042,4.07812,0.0,0.0,0.3414066039873131,Micro-PVM_2,DAM_vs_Homeostatic,4.07812
MRC2,36.581833,4.0725617,5.562636284654023e-293,4.953723860209778e-291,0.268095831445401,Micro-PVM_2,DAM_vs_Homeostatic,4.0725617
XACT,26.723976,4.0049853,2.4785703213807578e-157,1.3360552626341253e-155,0.20022230403262348,Micro-PVM_2,DAM_vs_Homeostatic,4.0049853
LINC00578,40.11191,3.9689853,0.0,0.0,0.3000750453103761,Micro-PVM_2,DAM_vs_Homeostatic,3.9689853
SPNS2,53.56092,3.9331653,0.0,0.0,0.40654026959673767,Micro-PVM_2,DAM_vs_Homeostatic,3.9331653
BHLHE41,90.38861,3.9271636,0.0,0.0,0.7527115428183054,Micro-PVM_2,DAM_vs_Homeostatic,3.9271636
LIPC,29.517101,3.9205935,1.7371000114534996e-191,1.0980932214025827e-189,0.2176951178069778,Micro-PVM_2,DAM_vs_Homeostatic,3.9205935
AL353138.1,32.86518,3.903241,6.913120582462957e-237,5.153301964128853e-235,0.2443645219755324,Micro-PVM_2,DAM_vs_Homeostatic,3.903241
