names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,contrast
PLXDC2,102.014366,1.6091355,0.0,0.0,0.9981546720348935,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
SORL1,91.93468,3.9365153,0.0,0.0,0.9045462170776716,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
EPB41L2,82.161705,2.4687324,0.0,0.0,0.9255829558798859,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
FRMD4A,79.19111,1.6168987,0.0,0.0,0.9831907398087569,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
GLDN,75.3426,4.2600284,0.0,0.0,0.6728065760778393,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
APBB1IP,75.017815,2.1901402,0.0,0.0,0.9102164066431807,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
KCNQ3,74.65489,3.2156131,0.0,0.0,0.8362355309511826,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
ST6GAL1,72.775375,2.0129986,0.0,0.0,0.9225968797181681,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
LHFPL2,71.53736,2.466151,0.0,0.0,0.8580775037745345,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
C3,71.163414,3.605959,0.0,0.0,0.6942794833081698,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
IPCEF1,70.66983,3.9199736,0.0,0.0,0.6438852541519879,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
ANOS1,69.19552,3.6471765,0.0,0.0,0.6470055359838953,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
DSCAM,69.18213,2.8963747,0.0,0.0,0.7627243751048481,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
DOCK10,68.88222,2.4177244,0.0,0.0,0.8629760107364536,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
FAM149A,68.49818,3.7190711,0.0,0.0,0.6376446904881731,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
DOCK4,68.24985,1.1701468,0.0,0.0,0.9924509310518369,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
DLEU1,66.89252,2.1403372,0.0,0.0,0.9002516356316055,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
SPP1,63.871494,3.6666527,0.0,0.0,0.7020969635967119,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic
