names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,contrast,abs_logfc
LINC01141,42.68343,4.3505907,0.0,0.0,0.34168763630263377,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,4.3505907
GLDN,75.3426,4.2600284,0.0,0.0,0.6728065760778393,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,4.2600284
SORL1,91.93468,3.9365153,0.0,0.0,0.9045462170776716,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,3.9365153
IPCEF1,70.66983,3.9199736,0.0,0.0,0.6438852541519879,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,3.9199736
SYNDIG1,59.008003,3.8712308,0.0,0.0,0.5343734272773024,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,3.8712308
FAM149A,68.49818,3.7190711,0.0,0.0,0.6376446904881731,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,3.7190711
SPP1,63.871494,3.6666527,0.0,0.0,0.7020969635967119,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,3.6666527
ANOS1,69.19552,3.6471765,0.0,0.0,0.6470055359838953,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,3.6471765
ADAMTSL2,19.3337,3.6394258,2.796219091206139e-83,1.7799028688214938e-81,0.15772521389028687,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,3.6394258
C3,71.163414,3.605959,0.0,0.0,0.6942794833081698,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,3.605959
LINC02232,50.065475,3.592419,0.0,0.0,0.4473746015769166,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,3.592419
SALL1,19.104067,3.514793,2.335675744470122e-81,1.45635550124959e-79,0.15658446569367557,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,3.514793
AC087564.1,39.17108,3.4500737,0.0,0.0,0.3424928703237712,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,3.4500737
PDPN,22.862513,3.3918445,1.0972960356793904e-115,8.865812848101848e-114,0.19077336017446736,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,3.3918445
CPA6,21.0557,3.3182309,2.027624261996843e-98,1.4494741330731729e-96,0.17809092434155344,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,3.3182309
KCNQ3,74.65489,3.2156131,0.0,0.0,0.8362355309511826,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,3.2156131
MCF2L,58.697666,3.2013206,0.0,0.0,0.562455963764469,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,3.2013206
PADI2,55.706474,3.1959991,0.0,0.0,0.5731253145445395,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,3.1959991
ITGAX,60.180508,3.1910565,0.0,0.0,0.5984901862103674,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,3.1910565
OLR1,46.775337,3.1548252,0.0,0.0,0.4389867471900688,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,3.1548252
TMEM156,47.029125,3.14625,0.0,0.0,0.44069786948498574,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,3.14625
AL353138.1,19.885794,3.1438942,5.402023764565442e-88,3.601447573895442e-86,0.1707767153162221,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,3.1438942
ENPP1,15.274769,3.1385832,1.126275294749085e-52,5.0704553583162684e-51,0.13044791142425768,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,3.1385832
SYT6,24.90945,3.1378932,5.877526128570309e-137,5.631500885649264e-135,0.21499748364368396,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,3.1378932
CX3CR1,33.267696,3.1330774,1.1326348954580362e-242,1.8182267459938412e-240,0.2956215400100654,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,3.1330774
LPL,18.460949,3.130618,4.257929165940832e-76,2.5055380289807133e-74,0.15910082200972991,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,3.130618
HS3ST4,63.694588,3.1246827,0.0,0.0,0.7088072471061903,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,3.1246827
AC066613.2,38.387554,3.0894558,0.0,0.0,0.35430296930045296,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,3.0894558
LINC01909,25.341698,3.0877473,1.1094459475777082e-141,1.100456128110886e-139,0.2222110384163731,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,3.0877473
SERPINE1,17.57744,3.0817091,3.6676000239872416e-69,1.988708570043808e-67,0.15208857574232512,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,3.0817091
KCNIP1,34.513256,2.9996343,5.0748804815813085e-261,8.973222246683936e-259,0.32477772185874854,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,2.9996343
AC025569.1,28.531837,2.9684005,4.719954916474225e-179,5.572744190253971e-177,0.2577084381815132,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,2.9684005
P2RY12,52.83226,2.9560473,0.0,0.0,0.5385002516356316,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,2.9560473
MRC2,17.573761,2.9460542,3.9134655729019503e-69,2.118886885115152e-67,0.1528938097634625,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,2.9460542
RASSF8,53.822693,2.9172814,0.0,0.0,0.5668511994631773,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,2.9172814
DSCAM,69.18213,2.8963747,0.0,0.0,0.7627243751048481,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,2.8963747
WNT5A,26.659325,2.8881507,1.3953488396305124e-156,1.4846268278871043e-154,0.23945646703573226,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,2.8881507
SDK1,56.80442,2.8778813,0.0,0.0,0.6484146955208857,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,2.8778813
LINC00578,20.10341,2.847535,6.889245803427166e-90,4.669505289837735e-88,0.181311860426103,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,2.847535
LINC01268,22.571218,2.8445046,8.312262728877695e-113,6.556834658182166e-111,0.2014762623720852,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,2.8445046
SCIN,60.773514,2.826508,0.0,0.0,0.676899849018621,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,2.826508
MYO1E,63.48834,2.8258886,0.0,0.0,0.734071464519376,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,2.8258886
TMEM119,18.311926,2.7584562,6.647542004560315e-75,3.855890410600825e-73,0.16349605770843817,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,2.7584562
SPATA13,52.432487,2.7255318,0.0,0.0,0.5600067102835095,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,2.7255318
LNCAROD,54.39258,2.718418,0.0,0.0,0.7318906223787955,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,2.718418
AC012150.1,43.85435,2.7175086,0.0,0.0,0.4416373091763127,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,2.7175086
XYLT1,44.441685,2.6954923,0.0,0.0,0.45891628921321925,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,2.6954923
AC008691.1,17.476458,2.663515,2.165410289711129e-68,1.1638205875729373e-66,0.16554269417882905,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,2.663515
IFNLR1,18.298424,2.657125,8.517672990336972e-75,4.9172767999893296e-73,0.16577755410166078,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,2.657125
SOCS6,58.563015,2.6555974,0.0,0.0,0.6485489011910753,Micro-PVM_3-SEAAD,IRM_vs_Homeostatic,2.6555974
