names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,contrast,abs_logfc
SPP1,55.765755,7.0477304,0.0,0.0,0.9637804187889077,Micro-PVM_4-SEAAD,LAM_vs_Homeostatic,7.0477304
CD83,45.155296,6.146459,0.0,0.0,0.7543859649122807,Micro-PVM_4-SEAAD,LAM_vs_Homeostatic,6.146459
OLR1,45.30225,5.9321494,0.0,0.0,0.7611771363893605,Micro-PVM_4-SEAAD,LAM_vs_Homeostatic,5.9321494
PADI2,46.629696,5.7823663,0.0,0.0,0.8217317487266553,Micro-PVM_4-SEAAD,LAM_vs_Homeostatic,5.7823663
AL133259.1,15.338064,5.2694,4.257027437342305e-53,3.439546605610722e-51,0.24335031126202603,Micro-PVM_4-SEAAD,LAM_vs_Homeostatic,5.2694
AC131944.1,32.19842,5.167021,1.8569604751172636e-227,1.2357565518139448e-224,0.5415959252971138,Micro-PVM_4-SEAAD,LAM_vs_Homeostatic,5.167021
RGS1,41.842823,4.714945,0.0,0.0,0.8081494057724957,Micro-PVM_4-SEAAD,LAM_vs_Homeostatic,4.714945
HK2,37.065563,4.6727395,1.0084266245775001e-300,1.1906265447148737e-297,0.6513865308432372,Micro-PVM_4-SEAAD,LAM_vs_Homeostatic,4.6727395
HIF1A-AS3,42.420048,4.647101,0.0,0.0,0.799660441426146,Micro-PVM_4-SEAAD,LAM_vs_Homeostatic,4.647101
FLT1,27.42228,4.5212007,1.4879380995976447e-165,5.5010123619569083e-163,0.46915676287492925,Micro-PVM_4-SEAAD,LAM_vs_Homeostatic,4.5212007
SDK1,42.16218,4.428295,0.0,0.0,0.812110922467459,Micro-PVM_4-SEAAD,LAM_vs_Homeostatic,4.428295
EGR3,9.686685,4.4220004,3.434971676942224e-22,1.1871897860978502e-20,0.15789473684210525,Micro-PVM_4-SEAAD,LAM_vs_Homeostatic,4.4220004
NR4A3,20.13236,4.07501,3.842516570065006e-90,5.740406080855073e-88,0.3491794001131862,Micro-PVM_4-SEAAD,LAM_vs_Homeostatic,4.07501
AC083862.3,15.65203,3.9216595,3.2178751001235615e-55,2.6828575521554097e-53,0.26711941143180534,Micro-PVM_4-SEAAD,LAM_vs_Homeostatic,3.9216595
MYO1E,39.43366,3.7835915,0.0,0.0,0.8092812676853424,Micro-PVM_4-SEAAD,LAM_vs_Homeostatic,3.7835915
RGS16,13.39373,3.7456086,6.579183254681546e-41,3.928298308394768e-39,0.2286361063950198,Micro-PVM_4-SEAAD,LAM_vs_Homeostatic,3.7456086
ATF3,20.810514,3.7194574,3.4759709090035405e-96,5.604581992970863e-94,0.3740803621958121,Micro-PVM_4-SEAAD,LAM_vs_Homeostatic,3.7194574
LUCAT1,19.606546,3.6974792,1.3595372657791068e-85,1.9362032476568517e-83,0.3525749858517261,Micro-PVM_4-SEAAD,LAM_vs_Homeostatic,3.6974792
ITGAX,33.358337,3.6794515,5.5147281734468575e-244,4.119276854618948e-241,0.6502546689303905,Micro-PVM_4-SEAAD,LAM_vs_Homeostatic,3.6794515
RGCC,10.307392,3.622429,6.524756652664093e-25,2.4645265040676832e-23,0.18166383701188454,Micro-PVM_4-SEAAD,LAM_vs_Homeostatic,3.622429
