Donor ID,state,median,mean,std,count
H19.33.004,Homeostatic,0.1065,0.1067,0.0319,56
H19.33.004,DAM,0.1319,0.1318,0.0031,2157
H19.33.004,DAM-IRM,0.1299,0.1311,0.0267,529
H19.33.004,IRM,0.1273,0.1252,0.012,125
H19.33.004,LateAD-DAM,0.1261,0.1261,,1
H19.33.004,LAM,0.1349,0.2344,0.2431,6
H20.33.001,Homeostatic,0.1177,0.1266,0.0556,139
H20.33.001,DAM,0.1313,0.1315,0.0072,2493
H20.33.001,DAM-IRM,0.1313,0.1314,0.005,1287
H20.33.001,IRM,0.1293,0.1281,0.0085,695
H20.33.001,LateAD-DAM,0.1722,0.1972,0.0667,25
H20.33.001,LAM,0.1328,0.1316,0.0043,5
H20.33.002,Homeostatic,0.1308,0.1427,0.0476,53
H20.33.002,DAM,0.1321,0.1322,0.0039,681
H20.33.002,DAM-IRM,0.1326,0.1326,0.007,974
H20.33.002,IRM,0.1298,0.1267,0.0119,78
H20.33.002,LateAD-DAM,0.13,0.1365,0.0121,3
H20.33.002,LAM,,,,0
H20.33.004,Homeostatic,0.1266,0.1276,0.0342,60
H20.33.004,DAM,0.1302,0.1308,0.0047,913
H20.33.004,DAM-IRM,0.1291,0.1321,0.0125,71
H20.33.004,IRM,0.1299,0.1298,0.0061,345
H20.33.004,LateAD-DAM,0.2785,0.2767,0.0765,4
H20.33.004,LAM,0.1379,0.1397,0.0077,16
H20.33.005,Homeostatic,0.0956,0.1007,0.0441,72
H20.33.005,DAM,0.1316,0.1315,0.0045,1906
H20.33.005,DAM-IRM,0.1297,0.1295,0.0055,560
H20.33.005,IRM,0.1272,0.1253,0.0107,525
H20.33.005,LateAD-DAM,,,,0
H20.33.005,LAM,0.1444,0.1444,,1
H20.33.008,Homeostatic,0.1202,0.1236,0.0419,158
H20.33.008,DAM,0.1305,0.1304,0.0036,2322
H20.33.008,DAM-IRM,0.1304,0.1303,0.004,2394
H20.33.008,IRM,0.1272,0.1267,0.0089,363
H20.33.008,LateAD-DAM,0.1951,0.2152,0.0932,8
H20.33.008,LAM,0.134,0.1354,0.008,12
H20.33.011,Homeostatic,0.1253,0.1259,0.0388,84
H20.33.011,DAM,0.1322,0.132,0.0037,2744
H20.33.011,DAM-IRM,0.1308,0.131,0.0067,564
H20.33.011,IRM,0.1282,0.1263,0.0115,497
H20.33.011,LateAD-DAM,0.1472,0.1979,0.0871,6
H20.33.011,LAM,0.1322,0.1322,0.0012,2
H20.33.012,Homeostatic,0.1269,0.1306,0.0471,93
H20.33.012,DAM,0.1308,0.1312,0.0065,1819
H20.33.012,DAM-IRM,0.1299,0.1307,0.0072,983
H20.33.012,IRM,0.1275,0.1263,0.0085,662
H20.33.012,LateAD-DAM,0.1919,0.2081,0.0662,221
H20.33.012,LAM,0.141,0.1404,0.0068,5
H20.33.013,Homeostatic,0.1104,0.1149,0.0377,125
H20.33.013,DAM,0.1322,0.1326,0.0043,2365
H20.33.013,DAM-IRM,0.1302,0.1308,0.0043,549
H20.33.013,IRM,0.1296,0.1279,0.0111,162
H20.33.013,LateAD-DAM,0.15,0.1646,0.0362,42
H20.33.013,LAM,0.1311,0.1339,0.0071,6
H20.33.014,Homeostatic,0.1192,0.1158,0.0327,27
H20.33.014,DAM,0.1311,0.131,0.0028,705
H20.33.014,DAM-IRM,0.13,0.1302,0.0037,294
H20.33.014,IRM,0.129,0.1287,0.0071,219
H20.33.014,LateAD-DAM,,,,0
H20.33.014,LAM,0.1348,0.1388,0.0104,9
H20.33.015,Homeostatic,0.1228,0.1188,0.0317,228
H20.33.015,DAM,0.1295,0.1291,0.0054,2828
H20.33.015,DAM-IRM,0.1291,0.1287,0.0059,1334
H20.33.015,IRM,0.1263,0.1246,0.009,910
H20.33.015,LateAD-DAM,0.2118,0.2118,0.1157,2
H20.33.015,LAM,0.1392,0.1408,0.0087,187
H20.33.016,Homeostatic,0.0944,0.0989,0.039,62
H20.33.016,DAM,0.1317,0.1316,0.0041,3722
H20.33.016,DAM-IRM,0.1296,0.1305,0.0075,338
H20.33.016,IRM,0.1298,0.1295,0.0103,282
H20.33.016,LateAD-DAM,0.1314,0.1314,,1
H20.33.016,LAM,0.1428,0.1405,0.0084,3
H20.33.017,Homeostatic,0.1232,0.1259,0.0437,193
H20.33.017,DAM,0.1314,0.1311,0.0035,1615
H20.33.017,DAM-IRM,0.1316,0.1317,0.0052,2032
H20.33.017,IRM,0.1279,0.1273,0.0088,1210
H20.33.017,LateAD-DAM,0.1621,0.2036,0.0925,8
H20.33.017,LAM,0.1328,0.1374,0.0108,10
H20.33.018,Homeostatic,0.1148,0.1246,0.075,194
H20.33.018,DAM,0.1314,0.1314,0.0094,1759
H20.33.018,DAM-IRM,0.1301,0.13,0.0056,559
H20.33.018,IRM,0.1264,0.1249,0.0101,819
H20.33.018,LateAD-DAM,0.3316,0.3065,0.0733,43
H20.33.018,LAM,0.135,0.1376,0.009,33
H20.33.019,Homeostatic,0.1198,0.1272,0.0577,215
H20.33.019,DAM,0.1287,0.1281,0.0046,1454
H20.33.019,DAM-IRM,0.1284,0.128,0.0061,1650
H20.33.019,IRM,0.1202,0.117,0.0132,371
H20.33.019,LateAD-DAM,0.2435,0.236,0.0693,29
H20.33.019,LAM,0.1269,0.1283,0.0041,6
H20.33.020,Homeostatic,0.1204,0.116,0.0313,389
H20.33.020,DAM,0.1305,0.1308,0.0064,2774
H20.33.020,DAM-IRM,0.1294,0.1295,0.008,1678
H20.33.020,IRM,0.1275,0.1267,0.0092,1366
H20.33.020,LateAD-DAM,0.2561,0.2554,0.0697,102
H20.33.020,LAM,0.1413,0.142,0.0081,91
H20.33.024,Homeostatic,0.121,0.1135,0.0258,64
H20.33.024,DAM,0.1284,0.1275,0.0048,249
H20.33.024,DAM-IRM,0.1277,0.1276,0.0047,281
H20.33.024,IRM,0.1195,0.1158,0.014,60
H20.33.024,LateAD-DAM,,,,0
H20.33.024,LAM,0.1305,0.1323,0.0071,8
H20.33.025,Homeostatic,0.1065,0.1109,0.0662,247
H20.33.025,DAM,0.1308,0.1307,0.004,4981
H20.33.025,DAM-IRM,0.131,0.1316,0.0065,884
H20.33.025,IRM,0.1271,0.1234,0.0133,738
H20.33.025,LateAD-DAM,0.2085,0.2298,0.0769,13
H20.33.025,LAM,0.1382,0.1413,0.0126,22
H20.33.026,Homeostatic,0.1107,0.1123,0.0454,345
H20.33.026,DAM,0.1307,0.1304,0.0045,2441
H20.33.026,DAM-IRM,0.1293,0.1294,0.0052,1152
H20.33.026,IRM,0.125,0.1229,0.0106,1073
H20.33.026,LateAD-DAM,0.18,0.1929,0.0586,24
H20.33.026,LAM,0.1421,0.1445,0.0112,56
H20.33.027,Homeostatic,0.1129,0.109,0.0335,117
