gene,spearman_r
SSPN,0.7568289966589046
ROBO3,0.7432823731902399
ZEB2-AS1,0.7380581148121899
RASSF8-AS1,0.7337248152272957
AC022509.3,0.7164321150146806
AC090579.1,0.7016098005467247
MED12L,0.6983699503897945
AL157413.1,0.6910802875367014
AL136988.2,0.6849448213020148
TAL1,0.6834463906044346
SLC35G2,0.6828186696365294
IL3RA,0.676986939354055
AC024145.1,0.6750227801964158
RASSF8,0.672410651007391
AC023051.1,0.6704059937227903
AL357093.2,0.6672673888832642
AL158832.1,0.664574263440316
AL078581.4,0.6627315986635618
MCF2L2,0.6621848739495798
RHBDL2,0.6618203908069251
AL356805.1,0.6569201174445681
AC008892.1,0.6556444264452769
AL161725.1,0.6550167054773717
ENO4,0.6543687354459857
AL356740.3,0.6537005163511188
ENTPD1-AS1,0.6504809152576694
AC044781.1,0.6500759339880531
CAHM,0.6495292092740711
AC120193.1,0.6480915257669333
ZBTB20-AS2,0.6468563328946036
AC008871.1,0.6456008909587931
OLR1,0.6442644527690595
IPO9-AS1,0.6438189733724816
AC008149.2,0.6428065201984409
AC011595.1,0.6410448516756101
AC004253.1,0.6399716513111269
SRGAP2-AS1,0.638857952819682
AC034236.2,0.6368330464716007
AC083798.2,0.6363875670750228
PLAT,0.6362458236306572
OPRM1,0.6362053255036955
AL353693.1,0.6359218386149641
AL139340.1,0.6342816644730181
RTTN,0.633653943505113
AC022463.1,0.6325402450136681
RAB11A,0.6314872937126658
DUOX1,0.6307178293003949
DRC3,0.6306368330464717
FN3KRP,0.6305558367925483
SPSB3,0.6298471195707198
RNF166,0.629826870507239
AC211486.2,0.6297777560847122
AC079921.1,0.6296648779993925
AC010082.1,0.6291991495393338
CTNND1,0.6291181532854107
AC023480.1,0.6284701832540246
PIK3CD-AS2,0.6278627113496001
MEF2C-AS2,0.6275994735243495
ADRB2,0.625250582160575
AL049812.3,0.6250075933988053
AC080162.1,0.6241166346056496
AL157392.2,0.6233066720664169
IFFO1,0.6226789510985117
AC012358.3,0.6224562114002228
AC068724.3,0.6220714791940873
OSCP1,0.6218892376227599
AL135960.1,0.6209710487628862
AP001267.3,0.6197833350207553
AC025040.1,0.6181026627518477
AC096733.1,0.6180956671926278
AC024560.5,0.6174546927204617
ZBTB20-AS5,0.6171914548952111
FO393419.2,0.6166447301812291
AC079209.2,0.6160372582768048
AC009950.1,0.6154297863723803
MUSK,0.6152070466740913
PIK3C2B,0.6145185785157437
AC100830.1,0.6139516047382809
AC046195.1,0.6137896122304344
PKD2L2,0.6137491141034728
CREBZF,0.6133441328338565
CX3CR1,0.6133036347068948
AC025164.1,0.6132631365799333
AP001021.3,0.6130403968816442
GLIPR1L1,0.612959400627721
AP000919.2,0.6124531740407007
PTGS1,0.6122911815328541
SLC18A2,0.611967196517161
AC116407.2,0.6102865242482535
AANAT,0.6083628632175763
CCDC200,0.6082008707097296
AP000962.1,0.608059127265364
