target,chembl_id,vina_score,cnn_score,cnn_affinity,composite_score,promiscuous
PPARG_1FM9_LBD_prep,CHEMBL898,-8.766,0.9554,5.979,0.9239,False
PPARG_1FM9_LBD_prep,CHEMBL1201203,-8.729,0.9453,6.679,0.9163,False
PPARG_1FM9_LBD_prep,CHEMBL1256841,-8.659,0.9445,6.053,0.9131,False
PPARG_1FM9_LBD_prep,CHEMBL294199,-8.175,0.9452,6.065,0.8941,False
PPARG_1FM9_LBD_prep,CHEMBL282052,-9.121,0.8625,6.149,0.8823,False
PPARG_1FM9_LBD_prep,CHEMBL439849,-8.678,0.8885,6.446,0.8802,False
PPARG_1FM9_LBD_prep,CHEMBL490,-9.819,0.7749,5.441,0.8577,False
PPARG_1FM9_LBD_prep,CHEMBL41355,-8.246,0.8726,6.308,0.8534,False
PPARG_1FM9_LBD_prep,CHEMBL108,-8.213,0.8704,6.15,0.8508,False
PPARG_1FM9_LBD_prep,CHEMBL53,-8.061,0.8244,5.909,0.8171,False
PPARG_1FM9_LBD_prep,CHEMBL2105760,-8.238,0.8116,6.386,0.8165,False
PPARG_1FM9_LBD_prep,CHEMBL396778,-8.265,0.8017,5.519,0.8116,False
PPARG_1FM9_LBD_prep,CHEMBL2103837,-8.284,0.7992,5.671,0.8109,False
PPARG_1FM9_LBD_prep,CHEMBL41,-8.204,0.7995,5.779,0.8079,False
PPARG_1FM9_LBD_prep,CHEMBL1201347,-8.217,0.766,6.099,0.7883,False
PPARG_1FM9_LBD_prep,CHEMBL14370,-8.855,0.7085,6.551,0.7793,False
PPARG_1FM9_LBD_prep,CHEMBL1101,-8.29,0.7352,4.324,0.7727,False
PPARG_1FM9_LBD_prep,CHEMBL1201193,-8.249,0.7339,4.607,0.7703,False
PPARG_1FM9_LBD_prep,CHEMBL255044,-8.346,0.7248,5.719,0.7687,False
PPARG_1FM9_LBD_prep,CHEMBL1098,-8.158,0.7231,5.101,0.7602,False
PPARG_1FM9_LBD_prep,CHEMBL1089318,-8.115,0.7107,7.273,0.751,True
IRF8_AF2_DBD_prep,CHEMBL1089318,-6.941,0.8374,5.623,0.7801,True
IRF8_AF2_DBD_prep,CHEMBL1568698,-6.592,0.7717,4.509,0.7267,False
IRF8_AF2_DBD_prep,CHEMBL490,-6.676,0.7484,5.197,0.7161,False
IRF8_AF2_DBD_prep,CHEMBL2103837,-6.708,0.7411,5.07,0.713,False
IRF8_AF2_DBD_prep,CHEMBL42,-6.703,0.7401,4.677,0.7122,False
IRF8_AF2_DBD_prep,CHEMBL646,-6.535,0.7401,5.262,0.7055,False
IRF8_AF2_DBD_prep,CHEMBL108,-6.922,0.7101,4.379,0.7029,False
MAF_4EOT_bZIP_prep,CHEMBL982,-4.776,0.7574,4.333,0.6455,False
MAF_4EOT_bZIP_prep,CHEMBL1256841,-4.538,0.7731,4.031,0.6454,False
RUNX1_1LJM_Runt_prep,CHEMBL898,-5.725,0.8112,4.161,0.7157,False
RUNX1_1LJM_Runt_prep,CHEMBL396778,-5.549,0.7848,4.778,0.6928,False
RUNX1_1LJM_Runt_prep,CHEMBL16,-5.658,0.7614,4.314,0.6832,False
RUNX1_1LJM_Runt_prep,CHEMBL1089318,-5.791,0.7435,5.391,0.6777,True
RUNX1_1LJM_Runt_prep,CHEMBL53,-5.828,0.7356,4.161,0.6745,False
BHLHE41_AF2_bHLH_prep,CHEMBL1086,-6.001,0.8047,5.551,0.7229,False
BHLHE41_AF2_bHLH_prep,CHEMBL1201168,-6.143,0.7665,3.997,0.7056,False
BHLHE41_AF2_bHLH_prep,CHEMBL285674,-5.952,0.7326,5.287,0.6776,False
BHLHE41_AF2_bHLH_prep,CHEMBL982,-6.041,0.7154,4.651,0.6709,False
