chembl_id,vina_score,cnn_score,cnn_affinity
CHEMBL278819,-6.114,0.9879,5.481
CHEMBL1214124,-6.144,0.9451,7.255
CHEMBL220492,-5.931,0.922,4.651
CHEMBL1201,-5.874,0.9192,6.737
CHEMBL898,-6.266,0.8282,5.159
CHEMBL294199,-5.948,0.793,4.932
CHEMBL285674,-5.766,0.7925,6.658
CHEMBL396778,-6.066,0.7835,4.953
CHEMBL1201168,-5.885,0.7814,4.086
CHEMBL1522,-6.415,0.778,5.532
CHEMBL490,-5.992,0.7689,5.244
CHEMBL1089318,-5.86,0.76,5.575
CHEMBL646,-5.798,0.7324,6.808
CHEMBL146095,-5.94,0.7322,5.247
CHEMBL1201217,-5.772,0.7286,5.281
CHEMBL135400,-6.443,0.7259,5.488
CHEMBL2107726,-5.644,0.7241,4.795
CHEMBL1256841,-6.391,0.7103,4.962
CHEMBL254857,-5.871,0.7073,5.818
CHEMBL42,-5.93,0.6922,5.213
CHEMBL715,-5.828,0.6896,4.467
CHEMBL1065,-5.942,0.6889,4.547
CHEMBL255044,-5.671,0.6881,4.389
CHEMBL661,-5.681,0.6648,4.688
CHEMBL621,-6.428,0.6409,5.151
CHEMBL284092,-5.624,0.6383,5.48
CHEMBL831,-5.82,0.6026,4.631
CHEMBL431770,-5.708,0.5746,5.078
CHEMBL1521,-5.816,0.5482,5.039
CHEMBL1088,-5.965,0.4052,5.387
