chembl_id,vina_score,cnn_score,cnn_affinity
CHEMBL1089318,-6.941,0.8374,5.623
CHEMBL285674,-6.493,0.806,4.752
CHEMBL1568698,-6.592,0.7717,4.509
CHEMBL490,-6.676,0.7484,5.197
CHEMBL2103837,-6.708,0.7411,5.07
CHEMBL42,-6.703,0.7401,4.677
CHEMBL646,-6.535,0.7401,5.262
CHEMBL282052,-6.49,0.7308,4.815
CHEMBL569713,-6.444,0.7303,4.56
CHEMBL661,-6.454,0.7269,4.812
CHEMBL108,-6.922,0.7101,4.379
CHEMBL963,-6.604,0.6936,4.687
CHEMBL911,-6.603,0.6914,4.885
CHEMBL207538,-6.965,0.6911,4.546
CHEMBL655,-6.596,0.6777,5.408
CHEMBL2364639,-6.521,0.6751,5.704
CHEMBL1214124,-6.445,0.6662,5.183
CHEMBL32479,-6.411,0.6582,4.883
CHEMBL52440,-6.583,0.6536,4.938
CHEMBL100116,-6.488,0.6526,4.793
CHEMBL1595,-6.846,0.6442,4.46
CHEMBL716,-6.532,0.6408,4.732
CHEMBL2105760,-6.698,0.6335,6.241
CHEMBL53,-6.402,0.6164,4.351
CHEMBL621,-6.561,0.5911,5.512
CHEMBL511142,-6.54,0.5586,5.259
CHEMBL439849,-7.792,0.5523,5.779
CHEMBL1237021,-7.663,0.5487,5.993
CHEMBL49,-6.529,0.5452,5.315
CHEMBL254857,-6.627,0.5407,4.694
