chembl_id,vina_score,cnn_score,cnn_affinity
CHEMBL1256841,-4.538,0.7731,4.031
CHEMBL982,-4.776,0.7574,4.333
CHEMBL16,-4.651,0.7493,3.819
CHEMBL396778,-4.685,0.7478,4.503
CHEMBL1089318,-4.682,0.744,5.117
CHEMBL895,-4.601,0.7437,4.195
CHEMBL41355,-4.666,0.7409,4.336
CHEMBL646,-4.633,0.7382,4.794
CHEMBL661,-4.581,0.7272,4.573
CHEMBL668,-4.616,0.7192,3.97
CHEMBL1065,-4.834,0.6993,4.398
CHEMBL831,-4.571,0.6652,4.328
CHEMBL1201203,-4.614,0.6648,4.142
CHEMBL53,-4.703,0.6614,3.698
CHEMBL1568698,-5.04,0.6571,4.389
CHEMBL1214124,-4.871,0.644,5.009
CHEMBL6437,-4.711,0.6372,4.073
CHEMBL511142,-4.6,0.635,5.01
CHEMBL1278,-4.64,0.6299,4.343
CHEMBL12713,-5.285,0.6192,5.384
CHEMBL2443262,-4.591,0.5934,4.598
CHEMBL490,-5.01,0.5833,4.574
CHEMBL1201347,-4.551,0.5716,4.433
CHEMBL3545367,-4.97,0.5512,5.266
CHEMBL621,-4.859,0.5354,4.751
CHEMBL254857,-4.969,0.5048,4.345
CHEMBL1201,-4.586,0.4657,5.24
CHEMBL1112,-5.045,0.4579,5.3
CHEMBL2028019,-4.643,0.4075,4.976
CHEMBL2105760,-5.219,0.3966,4.996
