chembl_id,vina_score,cnn_score,cnn_affinity
CHEMBL898,-8.766,0.9554,5.979
CHEMBL1201203,-8.729,0.9453,6.679
CHEMBL294199,-8.175,0.9452,6.065
CHEMBL1256841,-8.659,0.9445,6.053
CHEMBL439849,-8.678,0.8885,6.446
CHEMBL41355,-8.246,0.8726,6.308
CHEMBL108,-8.213,0.8704,6.15
CHEMBL282052,-9.121,0.8625,6.149
CHEMBL53,-8.061,0.8244,5.909
CHEMBL2105760,-8.238,0.8116,6.386
CHEMBL396778,-8.265,0.8017,5.519
CHEMBL41,-8.204,0.7995,5.779
CHEMBL2103837,-8.284,0.7992,5.671
CHEMBL490,-9.819,0.7749,5.441
CHEMBL1201347,-8.217,0.766,6.099
CHEMBL1101,-8.29,0.7352,4.324
CHEMBL1201193,-8.249,0.7339,4.607
CHEMBL255044,-8.346,0.7248,5.719
CHEMBL1098,-8.158,0.7231,5.101
CHEMBL1089318,-8.115,0.7107,7.273
CHEMBL14370,-8.855,0.7085,6.551
CHEMBL6437,-9.133,0.6921,3.995
CHEMBL3187365,-8.452,0.6858,5.428
CHEMBL278819,-8.572,0.6688,5.667
CHEMBL654,-8.706,0.6509,4.078
CHEMBL2104993,-8.125,0.6484,4.635
CHEMBL12713,-8.234,0.5785,6.49
CHEMBL621,-8.074,0.5669,5.807
CHEMBL596,-9.237,0.5476,6.945
