chembl_id,vina_score_kcal_mol
CHEMBL135400,-6.443
CHEMBL621,-6.428
CHEMBL3306803,-6.417
CHEMBL1522,-6.415
CHEMBL1256841,-6.391
CHEMBL85,-6.346
CHEMBL1510,-6.315
CHEMBL898,-6.266
CHEMBL502,-6.187
CHEMBL1214124,-6.144
CHEMBL278819,-6.114
CHEMBL396778,-6.066
CHEMBL4105630,-6.064
CHEMBL3039520,-6.056
CHEMBL490,-5.992
CHEMBL1088,-5.965
CHEMBL708,-5.962
CHEMBL294199,-5.948
CHEMBL1065,-5.942
CHEMBL146095,-5.94
CHEMBL220492,-5.931
CHEMBL42,-5.93
CHEMBL1108,-5.887
CHEMBL1201168,-5.885
CHEMBL1201,-5.874
CHEMBL254857,-5.871
CHEMBL1089318,-5.86
CHEMBL715,-5.828
CHEMBL831,-5.82
CHEMBL1521,-5.816
CHEMBL646,-5.798
CHEMBL1201217,-5.772
CHEMBL285674,-5.766
CHEMBL54,-5.724
CHEMBL431770,-5.708
CHEMBL661,-5.681
CHEMBL255044,-5.671
CHEMBL2107726,-5.644
CHEMBL284092,-5.624
CHEMBL2028019,-5.615
CHEMBL41355,-5.591
CHEMBL1113,-5.591
CHEMBL911,-5.564
CHEMBL1278,-5.524
CHEMBL2103837,-5.523
CHEMBL1185,-5.523
CHEMBL2105581,-5.521
CHEMBL1324,-5.518
CHEMBL982,-5.493
CHEMBL1983350,-5.471
CHEMBL87493,-5.468
CHEMBL726,-5.451
CHEMBL49,-5.448
CHEMBL1568698,-5.436
CHEMBL422,-5.435
CHEMBL1279,-5.422
CHEMBL655,-5.421
CHEMBL895,-5.41
CHEMBL41,-5.398
CHEMBL1201347,-5.374
CHEMBL1086,-5.372
CHEMBL19019,-5.37
CHEMBL86304,-5.359
CHEMBL596,-5.356
CHEMBL53,-5.353
CHEMBL1490,-5.344
CHEMBL1505,-5.332
CHEMBL117785,-5.324
CHEMBL1218,-5.309
CHEMBL32479,-5.308
CHEMBL1201754,-5.301
CHEMBL33986,-5.297
CHEMBL1201210,-5.287
CHEMBL485,-5.285
CHEMBL549,-5.277
CHEMBL282052,-5.271
CHEMBL252556,-5.263
CHEMBL460,-5.258
CHEMBL1508,-5.255
CHEMBL1101,-5.246
CHEMBL1009,-5.224
CHEMBL18116,-5.197
CHEMBL1194,-5.187
CHEMBL398707,-5.181
CHEMBL58323,-5.158
CHEMBL2103822,-5.155
CHEMBL531,-5.144
CHEMBL1200733,-5.136
CHEMBL567,-5.129
CHEMBL918,-5.125
CHEMBL905,-5.12
CHEMBL488093,-5.099
CHEMBL108,-5.097
CHEMBL511142,-5.09
CHEMBL3187365,-5.087
CHEMBL569713,-5.083
CHEMBL716,-5.081
CHEMBL1442422,-5.061
CHEMBL568,-5.06
CHEMBL1628227,-5.048
CHEMBL462605,-5.044
CHEMBL1201222,-5.015
CHEMBL2105345,-5.011
CHEMBL207538,-5.008
CHEMBL1201203,-4.986
CHEMBL887,-4.981
CHEMBL1094,-4.976
CHEMBL70,-4.976
CHEMBL580,-4.968
CHEMBL1087,-4.964
CHEMBL1201193,-4.954
CHEMBL100116,-4.951
CHEMBL243712,-4.936
CHEMBL963,-4.931
CHEMBL10878,-4.925
CHEMBL656,-4.922
CHEMBL1286,-4.92
CHEMBL86715,-4.915
CHEMBL3137326,-4.91
CHEMBL290916,-4.909
CHEMBL2104993,-4.907
CHEMBL4297526,-4.902
CHEMBL728,-4.9
CHEMBL45,-4.888
CHEMBL814,-4.887
CHEMBL4297620,-4.886
CHEMBL970,-4.885
CHEMBL972,-4.882
CHEMBL16,-4.877
CHEMBL953,-4.874
CHEMBL1175,-4.869
CHEMBL1303,-4.862
CHEMBL6437,-4.854
CHEMBL1595,-4.84
CHEMBL796,-4.84
CHEMBL1076903,-4.836
CHEMBL54976,-4.83
CHEMBL2443262,-4.827
CHEMBL1098,-4.825
CHEMBL21731,-4.814
CHEMBL1095,-4.794
CHEMBL658,-4.79
CHEMBL1201293,-4.782
CHEMBL370805,-4.771
CHEMBL1177,-4.767
CHEMBL37744,-4.76
CHEMBL668,-4.755
CHEMBL641,-4.745
CHEMBL273575,-4.719
CHEMBL22242,-4.716
CHEMBL1201192,-4.712
CHEMBL14370,-4.704
CHEMBL654,-4.698
CHEMBL95,-4.693
CHEMBL306700,-4.679
CHEMBL744,-4.668
CHEMBL40,-4.659
CHEMBL698,-4.653
CHEMBL569,-4.653
CHEMBL52440,-4.652
CHEMBL797,-4.636
CHEMBL681,-4.628
CHEMBL85231,-4.626
CHEMBL128,-4.624
CHEMBL3989949,-4.617
CHEMBL451,-4.603
CHEMBL7728,-4.591
CHEMBL636,-4.572
CHEMBL1373,-4.567
CHEMBL1256,-4.563
CHEMBL1077896,-4.558
CHEMBL896,-4.557
CHEMBL1059,-4.547
CHEMBL607400,-4.534
CHEMBL13280,-4.53
CHEMBL741,-4.528
CHEMBL750,-4.522
CHEMBL1764,-4.52
CHEMBL1115,-4.502
CHEMBL268164,-4.499
CHEMBL969,-4.482
CHEMBL288470,-4.473
CHEMBL452,-4.47
CHEMBL1200694,-4.469
CHEMBL1697856,-4.454
CHEMBL79,-4.452
CHEMBL940,-4.451
CHEMBL861,-4.436
CHEMBL25,-4.434
CHEMBL894,-4.43
CHEMBL112,-4.427
CHEMBL1093,-4.425
CHEMBL278020,-4.411
CHEMBL637,-4.401
CHEMBL660,-4.401
CHEMBL1102,-4.395
CHEMBL7413,-4.385
CHEMBL1257,-4.377
CHEMBL28318,-4.363
CHEMBL16073,-4.34
CHEMBL1100,-4.337
CHEMBL301265,-4.329
CHEMBL1237044,-4.31
CHEMBL1200922,-4.308
CHEMBL71,-4.296
CHEMBL778,-4.291
CHEMBL967,-4.291
CHEMBL492,-4.28
CHEMBL589,-4.278
CHEMBL856,-4.254
CHEMBL259209,-4.253
