chembl_id,vina_score_kcal_mol
CHEMBL439849,-7.792
CHEMBL1237021,-7.663
CHEMBL1621,-7.645
CHEMBL85,-7.527
CHEMBL1108,-7.39
CHEMBL3039520,-7.166
CHEMBL4105630,-7.165
CHEMBL708,-7.149
CHEMBL3306803,-7.053
CHEMBL207538,-6.965
CHEMBL1089318,-6.941
CHEMBL108,-6.922
CHEMBL1595,-6.846
CHEMBL1510,-6.73
CHEMBL2103837,-6.708
CHEMBL42,-6.703
CHEMBL2105760,-6.698
CHEMBL502,-6.697
CHEMBL490,-6.676
CHEMBL254857,-6.627
CHEMBL963,-6.604
CHEMBL911,-6.603
CHEMBL655,-6.596
CHEMBL1568698,-6.592
CHEMBL52440,-6.583
CHEMBL621,-6.561
CHEMBL511142,-6.54
CHEMBL646,-6.535
CHEMBL716,-6.532
CHEMBL49,-6.529
CHEMBL2364639,-6.521
CHEMBL285674,-6.493
CHEMBL282052,-6.49
CHEMBL54,-6.49
CHEMBL100116,-6.488
CHEMBL661,-6.454
CHEMBL1214124,-6.445
CHEMBL569713,-6.444
CHEMBL32479,-6.411
CHEMBL53,-6.402
CHEMBL831,-6.387
CHEMBL1113,-6.382
CHEMBL6437,-6.379
CHEMBL895,-6.362
CHEMBL2028019,-6.361
CHEMBL3545367,-6.353
CHEMBL654,-6.341
CHEMBL1324,-6.339
CHEMBL1521,-6.333
CHEMBL14370,-6.312
CHEMBL12713,-6.29
CHEMBL41,-6.288
CHEMBL2111101,-6.285
CHEMBL1279,-6.284
CHEMBL656,-6.279
CHEMBL273575,-6.269
CHEMBL1101,-6.265
CHEMBL3187365,-6.263
CHEMBL549,-6.253
CHEMBL1490,-6.251
CHEMBL1085,-6.25
CHEMBL982,-6.235
CHEMBL1508,-6.23
CHEMBL33986,-6.224
CHEMBL19019,-6.214
CHEMBL634,-6.194
CHEMBL485,-6.183
CHEMBL370805,-6.138
CHEMBL16,-6.135
CHEMBL146095,-6.12
CHEMBL1201,-6.107
CHEMBL898,-6.097
CHEMBL1278,-6.09
CHEMBL1201203,-6.084
CHEMBL2104993,-6.075
CHEMBL70,-6.066
CHEMBL284092,-6.059
CHEMBL726,-6.055
CHEMBL1628227,-6.045
CHEMBL1522,-6.037
CHEMBL1201347,-6.025
CHEMBL255044,-6.019
CHEMBL1201087,-6.014
CHEMBL596,-6.001
CHEMBL1088,-6.0
CHEMBL567,-5.998
CHEMBL41355,-5.994
CHEMBL1076903,-5.986
CHEMBL1185,-5.982
CHEMBL1505,-5.982
CHEMBL422,-5.98
CHEMBL135400,-5.975
CHEMBL21731,-5.974
CHEMBL398707,-5.964
CHEMBL1201168,-5.953
CHEMBL2443262,-5.951
CHEMBL728,-5.95
CHEMBL715,-5.94
CHEMBL4297590,-5.936
CHEMBL10878,-5.895
CHEMBL1218,-5.889
CHEMBL278819,-5.883
CHEMBL1112,-5.882
CHEMBL396778,-5.88
CHEMBL641,-5.869
CHEMBL668,-5.863
CHEMBL3137326,-5.86
CHEMBL1983350,-5.859
CHEMBL658,-5.844
CHEMBL2105581,-5.817
CHEMBL40,-5.817
CHEMBL86715,-5.816
CHEMBL117785,-5.814
CHEMBL431770,-5.787
CHEMBL1102,-5.78
CHEMBL294199,-5.764
CHEMBL4297526,-5.759
CHEMBL1065,-5.759
CHEMBL268164,-5.731
CHEMBL1303,-5.716
CHEMBL1201754,-5.705
CHEMBL1175,-5.701
CHEMBL1201222,-5.682
CHEMBL905,-5.68
CHEMBL243712,-5.674
CHEMBL460,-5.642
CHEMBL531,-5.64
CHEMBL87493,-5.637
CHEMBL1086,-5.633
CHEMBL681,-5.63
CHEMBL28318,-5.627
CHEMBL953,-5.626
CHEMBL3989949,-5.615
CHEMBL1201192,-5.611
CHEMBL2107726,-5.611
CHEMBL14376,-5.601
CHEMBL697,-5.599
CHEMBL220492,-5.595
CHEMBL1201210,-5.591
CHEMBL742,-5.588
CHEMBL45,-5.586
CHEMBL2103822,-5.575
CHEMBL1087,-5.55
CHEMBL1237044,-5.544
CHEMBL589,-5.52
CHEMBL1201193,-5.502
CHEMBL896,-5.496
CHEMBL58323,-5.481
CHEMBL1213351,-5.465
CHEMBL86304,-5.457
CHEMBL54976,-5.444
CHEMBL85231,-5.441
CHEMBL1764,-5.44
CHEMBL7728,-5.433
CHEMBL797,-5.431
CHEMBL288470,-5.429
CHEMBL37744,-5.428
CHEMBL741,-5.41
CHEMBL1442422,-5.409
CHEMBL128,-5.409
CHEMBL861,-5.409
CHEMBL95,-5.404
CHEMBL778,-5.402
CHEMBL970,-5.397
CHEMBL887,-5.393
CHEMBL1077896,-5.389
CHEMBL22242,-5.382
CHEMBL1373,-5.378
CHEMBL197084,-5.372
CHEMBL1098,-5.371
CHEMBL564,-5.361
CHEMBL637,-5.343
CHEMBL1095,-5.335
CHEMBL1201217,-5.314
CHEMBL452,-5.301
CHEMBL1514,-5.301
CHEMBL18116,-5.292
CHEMBL395091,-5.288
CHEMBL462605,-5.283
CHEMBL750,-5.281
CHEMBL651,-5.269
