chembl_id,vina_score_kcal_mol
CHEMBL85,-5.679
CHEMBL1621,-5.454
CHEMBL708,-5.344
CHEMBL54,-5.327
CHEMBL12713,-5.285
CHEMBL3306803,-5.271
CHEMBL2105760,-5.219
CHEMBL1108,-5.195
CHEMBL4105630,-5.174
CHEMBL1112,-5.045
CHEMBL1568698,-5.04
CHEMBL3039520,-5.025
CHEMBL490,-5.01
CHEMBL3545367,-4.97
CHEMBL254857,-4.969
CHEMBL1510,-4.891
CHEMBL1214124,-4.871
CHEMBL621,-4.859
CHEMBL1065,-4.834
CHEMBL502,-4.833
CHEMBL982,-4.776
CHEMBL6437,-4.711
CHEMBL53,-4.703
CHEMBL396778,-4.685
CHEMBL1089318,-4.682
CHEMBL41355,-4.666
CHEMBL16,-4.651
CHEMBL2028019,-4.643
CHEMBL1278,-4.64
CHEMBL646,-4.633
CHEMBL668,-4.616
CHEMBL1201203,-4.614
CHEMBL895,-4.601
CHEMBL511142,-4.6
CHEMBL2443262,-4.591
CHEMBL1201,-4.586
CHEMBL661,-4.581
CHEMBL831,-4.571
CHEMBL1201347,-4.551
CHEMBL1256841,-4.538
CHEMBL898,-4.537
CHEMBL285674,-4.533
CHEMBL1113,-4.532
CHEMBL1521,-4.524
CHEMBL1324,-4.523
CHEMBL1085,-4.522
CHEMBL2364639,-4.511
CHEMBL255044,-4.509
CHEMBL1201217,-4.508
CHEMBL431770,-4.501
CHEMBL655,-4.495
CHEMBL549,-4.494
CHEMBL273575,-4.488
CHEMBL1201168,-4.486
CHEMBL284092,-4.483
CHEMBL278819,-4.475
CHEMBL4297590,-4.473
CHEMBL963,-4.47
CHEMBL52440,-4.466
CHEMBL42,-4.46
CHEMBL207538,-4.455
CHEMBL3137326,-4.452
CHEMBL370805,-4.448
CHEMBL654,-4.447
CHEMBL32479,-4.447
CHEMBL398707,-4.445
CHEMBL70,-4.437
CHEMBL49,-4.435
CHEMBL488093,-4.413
CHEMBL1201210,-4.399
CHEMBL2103837,-4.396
CHEMBL135400,-4.386
CHEMBL1522,-4.383
CHEMBL294199,-4.369
CHEMBL596,-4.361
CHEMBL1218,-4.361
CHEMBL911,-4.349
CHEMBL4297526,-4.348
CHEMBL108,-4.348
CHEMBL2103822,-4.348
CHEMBL1175,-4.333
CHEMBL33986,-4.332
CHEMBL1595,-4.325
CHEMBL1279,-4.325
CHEMBL117785,-4.319
CHEMBL19019,-4.308
CHEMBL656,-4.308
CHEMBL21731,-4.298
CHEMBL3187365,-4.296
CHEMBL1983350,-4.286
CHEMBL422,-4.284
CHEMBL1505,-4.264
CHEMBL1628227,-4.263
CHEMBL1508,-4.251
CHEMBL10878,-4.249
CHEMBL716,-4.248
CHEMBL1185,-4.235
CHEMBL485,-4.226
CHEMBL2105581,-4.218
CHEMBL1201754,-4.153
CHEMBL37744,-4.146
CHEMBL728,-4.145
CHEMBL41,-4.132
CHEMBL282052,-4.115
CHEMBL1442422,-4.11
CHEMBL726,-4.105
CHEMBL567,-4.101
CHEMBL1088,-4.086
CHEMBL86304,-4.082
CHEMBL741,-4.081
CHEMBL905,-4.075
CHEMBL460,-4.063
CHEMBL40,-4.053
CHEMBL87493,-4.048
CHEMBL1102,-4.04
CHEMBL1201192,-4.035
CHEMBL569713,-4.027
CHEMBL887,-4.025
CHEMBL651,-4.02
CHEMBL1086,-4.019
