compound,target,vina_score,status
CHEMBL1037,IRF8_AF2_DBD,-5.407,ok
CHEMBL1057,IRF8_AF2_DBD,-7.421,ok
CHEMBL1024,IRF8_AF2_DBD,-4.27,ok
CHEMBL1046,IRF8_AF2_DBD,-3.481,ok
CHEMBL100116,IRF8_AF2_DBD,-6.579,ok
CHEMBL1059,IRF8_AF2_DBD,-3.981,ok
CHEMBL106258,IRF8_AF2_DBD,-4.986,ok
CHEMBL1043,IRF8_AF2_DBD,-5.679,ok
CHEMBL1054,IRF8_AF2_DBD,-6.034,ok
CHEMBL1009,IRF8_AF2_DBD,-4.94,ok
CHEMBL1020,IRF8_AF2_DBD,-5.875,ok
CHEMBL1018,IRF8_AF2_DBD,-5.81,ok
CHEMBL1029,IRF8_AF2_DBD,-4.296,ok
CHEMBL1021,IRF8_AF2_DBD,-6.174,ok
CHEMBL1076903,IRF8_AF2_DBD,-5.988,ok
CHEMBL1055,IRF8_AF2_DBD,-7.028,ok
CHEMBL105,IRF8_AF2_DBD,-5.814,ok
CHEMBL1006,IRF8_AF2_DBD,-3.833,ok
CHEMBL1002,IRF8_AF2_DBD,-5.241,ok
CHEMBL106,IRF8_AF2_DBD,-5.556,ok
CHEMBL108,IRF8_AF2_DBD,-6.727,ok
CHEMBL1079,IRF8_AF2_DBD,-5.072,ok
CHEMBL108545,IRF8_AF2_DBD,-4.496,ok
CHEMBL1013,IRF8_AF2_DBD,-6.322,ok
CHEMBL1079604,IRF8_AF2_DBD,-5.704,ok
CHEMBL1077896,IRF8_AF2_DBD,-5.358,ok
CHEMBL1087,IRF8_AF2_DBD,-5.552,ok
CHEMBL1089,IRF8_AF2_DBD,-4.455,ok
CHEMBL1065,IRF8_AF2_DBD,-6.053,ok
CHEMBL10878,IRF8_AF2_DBD,-5.873,ok
CHEMBL1077,IRF8_AF2_DBD,-5.727,ok
CHEMBL109,IRF8_AF2_DBD,-3.77,ok
CHEMBL1071,IRF8_AF2_DBD,-6.305,ok
CHEMBL1095,IRF8_AF2_DBD,-5.441,ok
CHEMBL1090,IRF8_AF2_DBD,-5.136,ok
CHEMBL1000,IRF8_AF2_DBD,,timeout
CHEMBL1068,IRF8_AF2_DBD,-5.132,ok
CHEMBL1089221,IRF8_AF2_DBD,-6.036,ok
CHEMBL1093,IRF8_AF2_DBD,-4.692,ok
CHEMBL1094,IRF8_AF2_DBD,-5.028,ok
CHEMBL1094636,IRF8_AF2_DBD,-6.542,ok
CHEMBL1098319,IRF8_AF2_DBD,-2.838,ok
CHEMBL1096,IRF8_AF2_DBD,-6.395,ok
CHEMBL1094966,IRF8_AF2_DBD,-4.801,ok
CHEMBL1096562,IRF8_AF2_DBD,-3.566,ok
CHEMBL1082407,IRF8_AF2_DBD,-6.421,ok
CHEMBL1091,IRF8_AF2_DBD,-7.216,ok
CHEMBL1064,IRF8_AF2_DBD,,timeout
CHEMBL1072,IRF8_AF2_DBD,-5.499,ok
CHEMBL107,IRF8_AF2_DBD,,timeout
CHEMBL1075,IRF8_AF2_DBD,-5.996,ok
CHEMBL1106,IRF8_AF2_DBD,-6.528,ok
CHEMBL1073,IRF8_AF2_DBD,,timeout
CHEMBL1104,IRF8_AF2_DBD,-4.612,ok
CHEMBL1102,IRF8_AF2_DBD,-5.751,ok
CHEMBL110458,IRF8_AF2_DBD,-3.719,ok
CHEMBL1140,IRF8_AF2_DBD,-3.906,ok
CHEMBL112,IRF8_AF2_DBD,-4.357,ok
CHEMBL1078178,IRF8_AF2_DBD,,timeout
CHEMBL1098,IRF8_AF2_DBD,-5.341,ok
CHEMBL1085,IRF8_AF2_DBD,,timeout
CHEMBL1160819,IRF8_AF2_DBD,-1.103,ok
CHEMBL110,IRF8_AF2_DBD,-5.718,ok
CHEMBL1086,IRF8_AF2_DBD,-5.637,ok
CHEMBL1110,IRF8_AF2_DBD,-6.621,ok
CHEMBL1161681,IRF8_AF2_DBD,-2.669,ok
CHEMBL1149,IRF8_AF2_DBD,-3.392,ok
CHEMBL1118,IRF8_AF2_DBD,-4.894,ok
CHEMBL1101,IRF8_AF2_DBD,-6.221,ok
CHEMBL1159,IRF8_AF2_DBD,-5.57,ok
CHEMBL1129,IRF8_AF2_DBD,-5.491,ok
CHEMBL1109,IRF8_AF2_DBD,-6.52,ok
CHEMBL1169,IRF8_AF2_DBD,-4.195,ok
CHEMBL11662,IRF8_AF2_DBD,-5.624,ok
CHEMBL1177,IRF8_AF2_DBD,-5.165,ok
CHEMBL1095777,IRF8_AF2_DBD,,timeout
CHEMBL1167,IRF8_AF2_DBD,-5.792,ok
CHEMBL1164729,IRF8_AF2_DBD,-5.934,ok
CHEMBL1152,IRF8_AF2_DBD,-6.797,ok
CHEMBL1148,IRF8_AF2_DBD,-6.081,ok
CHEMBL1096146,IRF8_AF2_DBD,,timeout
CHEMBL1175,IRF8_AF2_DBD,-5.713,ok
CHEMBL1159650,IRF8_AF2_DBD,-6.489,ok
CHEMBL1179047,IRF8_AF2_DBD,-4.776,ok
CHEMBL1186579,IRF8_AF2_DBD,-6.523,ok
CHEMBL1108,IRF8_AF2_DBD,-7.41,ok
CHEMBL1111,IRF8_AF2_DBD,-6.052,ok
CHEMBL1185,IRF8_AF2_DBD,-5.982,ok
CHEMBL117287,IRF8_AF2_DBD,-5.874,ok
CHEMBL1191,IRF8_AF2_DBD,-5.485,ok
CHEMBL1112,IRF8_AF2_DBD,,timeout
CHEMBL1194,IRF8_AF2_DBD,-5.072,ok
CHEMBL1138,IRF8_AF2_DBD,,timeout
CHEMBL1139,IRF8_AF2_DBD,,timeout
CHEMBL118,IRF8_AF2_DBD,-6.138,ok
CHEMBL1189432,IRF8_AF2_DBD,-6.452,ok
CHEMBL1200436,IRF8_AF2_DBD,-7.084,ok
CHEMBL1200391,IRF8_AF2_DBD,-3.224,ok
CHEMBL1168,IRF8_AF2_DBD,,timeout
CHEMBL1200430,IRF8_AF2_DBD,-7.069,ok
CHEMBL1200559,IRF8_AF2_DBD,-3.221,ok
CHEMBL1200359,IRF8_AF2_DBD,-5.392,ok
CHEMBL1197,IRF8_AF2_DBD,-5.87,ok
CHEMBL1173055,IRF8_AF2_DBD,,timeout
CHEMBL1173655,IRF8_AF2_DBD,,timeout
CHEMBL1200660,IRF8_AF2_DBD,-3.697,ok
CHEMBL1200356,IRF8_AF2_DBD,-6.084,ok
CHEMBL1200790,IRF8_AF2_DBD,-4.285,ok
CHEMBL1183717,IRF8_AF2_DBD,,timeout
CHEMBL1200617,IRF8_AF2_DBD,-6.512,ok
CHEMBL1200600,IRF8_AF2_DBD,-6.987,ok
CHEMBL1200802,IRF8_AF2_DBD,-4.444,ok
CHEMBL119,IRF8_AF2_DBD,-6.044,ok
CHEMBL1200342,IRF8_AF2_DBD,-6.518,ok
CHEMBL1195,IRF8_AF2_DBD,-4.937,ok
CHEMBL1196,IRF8_AF2_DBD,-5.087,ok
CHEMBL1200829,IRF8_AF2_DBD,-4.086,ok
CHEMBL1200807,IRF8_AF2_DBD,-6.653,ok
CHEMBL1200,IRF8_AF2_DBD,-5.172,ok
CHEMBL1200604,IRF8_AF2_DBD,-5.526,ok
CHEMBL1200774,IRF8_AF2_DBD,-6.367,ok
