donor_dropped,n_cells_dropped,n_lateaddam_cells_dropped,lateaddam_mean_auc,gap_vs_homeostatic,lateaddam_rank,rank_changed,gap_halved
H21.33.002,2026,95,0.1508032399430694,0.031238497572862164,1,False,False
H20.33.012,1599,96,0.15164675823528576,0.03174015887781419,1,False,False
H21.33.001,2128,8,0.15272167957427363,0.0320328797195257,1,False,False
H20.33.035,1617,2,0.15260447126672866,0.03236606676527107,1,False,False
H20.33.033,1689,17,0.15276227038360993,0.03243802392620773,1,False,False
H20.33.020,2725,41,0.1525660703993254,0.032440222317484474,1,False,False
H21.33.004,1625,3,0.15263939626457032,0.03245379104290001,1,False,False
H21.33.014,536,1,0.1526730088837477,0.03247819037106643,1,False,False
H20.33.015,2367,2,0.15266208029751893,0.03250433533816037,1,False,False
H21.33.009,191,1,0.15262967230355856,0.03251579513941044,1,False,False
H21.33.027,2484,1,0.1526764643300724,0.032517134521433635,1,False,False
H21.33.021,256,7,0.15255260036754922,0.03252754349101053,1,False,False
H21.33.039,770,2,0.15257915623223367,0.032529884255637034,1,False,False
H21.33.038,1333,2,0.15263579920330572,0.032538514238392977,1,False,False
H20.33.027,1205,1,0.152736254437782,0.03255530467175062,1,False,False
H21.33.015,1222,1,0.15262856997126553,0.03255652040040173,1,False,False
H20.33.001,1974,12,0.15238628452460207,0.032558368643066465,1,False,False
H21.33.016,599,1,0.15263516036536834,0.03256245684972604,1,False,False
H20.33.044,461,1,0.1526622489634232,0.03256467500478866,1,False,False
H20.33.039,1646,2,0.15265611161916506,0.032573878787666044,1,False,False
H20.33.043,710,1,0.15262945838410114,0.032577554548257406,1,False,False
H21.33.044,698,9,0.1527177742201471,0.03258334677203771,1,False,False
H21.33.022,1693,4,0.15258129435927267,0.032597362869833724,1,False,False
H21.33.037,555,1,0.15263920199668313,0.03260117262404838,1,False,False
H20.33.004,609,1,0.1526873658483296,0.03260749388901685,1,False,False
H20.33.011,1696,1,0.15262416749360622,0.03261019811989188,1,False,False
H21.33.030,551,1,0.15266890254370027,0.03261076574326208,1,False,False
H21.33.045,583,9,0.15270195377144616,0.03261169037315699,1,False,False
H21.33.035,1764,5,0.15263065906595868,0.032615105604806766,1,False,False
H21.33.006,636,5,0.15266339364307674,0.032620671797309805,1,False,False
H21.33.029,987,1,0.1526363700380297,0.0326259654019493,1,False,False
H21.33.028,3083,30,0.15258686942399,0.032633847256894125,1,False,False
H21.33.047,474,11,0.15270709915638941,0.03263845864959809,1,False,False
H20.33.030,506,2,0.15265294504772875,0.03264433657647471,1,False,False
H21.33.042,720,2,0.15261481961913267,0.032649074935536704,1,False,False
H20.33.025,2874,5,0.15270762427824047,0.032658994589565365,1,False,False
H20.33.002,744,1,0.15260839378841842,0.03266515385135667,1,False,False
H21.33.025,1111,2,0.15269813102327892,0.03267060127025201,1,False,False
H20.33.040,2481,1,0.1526836386253277,0.03268211789270137,1,False,False
H20.33.038,422,2,0.15275419603597182,0.03268531897247165,1,False,False
H20.33.013,1360,22,0.15282585998625223,0.03269378362487187,1,False,False
H21.33.007,548,10,0.1527267314104036,0.032699983369732954,1,False,False
H20.33.018,1445,16,0.15275585186822485,0.03271165002125903,1,False,False
H21.33.026,1766,1,0.1526041930497492,0.03271546166267006,1,False,False
H20.33.031,1918,6,0.15253144457042206,0.032718403766346424,1,False,False
H21.33.013,954,9,0.1527737988081466,0.03272360466280365,1,False,False
H20.33.008,2210,3,0.1527846666657757,0.032748673773098896,1,False,False
H20.33.029,2002,14,0.1528265557937673,0.032763746322634305,1,False,False
H21.33.008,730,1,0.1526646477542073,0.032773839039550556,1,False,False
H21.33.019,1204,11,0.15280614591065722,0.03279868562581788,1,False,False
H20.33.017,2111,5,0.152572004348369,0.03280065644962639,1,False,False
H21.33.034,269,41,0.15288761527047715,0.0328427768232927,1,False,False
H20.33.019,1569,15,0.1528896798441148,0.03285152734754715,1,False,False
H21.33.023,1039,44,0.15291057618186474,0.03294913180928283,1,False,False
H20.33.026,2126,8,0.15283910359765407,0.032968307011672596,1,False,False
H20.33.037,458,10,0.1530671950104639,0.033151292515768996,1,False,False
H21.33.003,1625,31,0.1531612104259509,0.033162065222871795,1,False,False
