smiles,mw,n_source_occurrences,ring_count,n_heavy
*c1ccccc1,77.11,318,1,6
*C(=O)O,45.02,104,0,3
*C(C)C,43.09,86,0,3
*N(C)C,44.08,83,0,3
*C(C)=O,43.05,75,0,3
*C(N)=O,44.03,72,0,3
*C1CC1,41.07,55,1,3
*CCC,43.09,49,0,3
*C(F)(F)F,69.01,44,0,4
*CC(=O)O,59.04,43,0,4
*CCO,45.06,43,0,3
*c1ccc(F)cc1,95.1,39,1,7
*c1ccc(Cl)cc1,111.55,38,1,7
*C(C)(C)C,57.12,32,0,4
*CC=C,41.07,28,0,3
*CCCC,57.12,27,0,4
*c1ccc(O)cc1,93.1,26,1,7
*C(=O)[O-],44.01,26,0,3
*C1CCCCC1,83.15,26,1,6
*S(=O)(=O)c1ccc(N)cc1,156.19,26,1,10
*N1CCOCC1,86.11,24,1,6
*c1c(C)cccc1C,105.16,23,1,8
*C(=O)CO,59.04,22,0,4
*C(=O)CC,57.07,22,0,4
*CCN,44.08,21,0,3
*c1ccccc1Cl,111.55,19,1,7
*CC(C)C,57.12,19,0,4
*N1CCCCC1,84.14,18,1,6
*c1cccs1,83.14,17,1,5
*c1ccccn1,78.09,17,1,6
*C1CCCC1,69.13,15,1,5
*c1ccc(N)cc1,92.12,14,1,7
*N1CCN(C)CC1,99.16,14,1,7
*c1ccc(F)cc1F,113.09,13,1,8
*c1c(Cl)cccc1Cl,146.0,13,1,8
*c1cccc(O)c1,93.1,13,1,7
*NC(=N)N,58.06,13,0,4
*CC(=O)[O-],58.04,13,0,4
*c1ccncc1,78.09,12,1,6
*[N+](C)(C)C,59.11,11,0,4
*C(C)CCC,71.14,11,0,5
*C(C)C(=O)O,73.07,11,0,5
*C[C@H](N)C(=O)O,88.09,10,0,6
*N1CCCC1,70.12,10,1,5
*N1CCNCC1,85.13,10,1,6
*CC1=NCCN1,83.11,10,1,6
*C1CCN(C)CC1,98.17,10,1,7
*c1ccccc1C,91.13,10,1,7
*c1cccc2ccccc12,127.17,9,2,10
*c1ncnc2[nH]ccc12,118.12,9,2,9
*c1ccc(C)cc1,91.13,9,1,7
*c1ccc2c(c1)OCO2,121.11,9,2,9
*c1cccc(Cl)c1Cl,146.0,9,1,8
*c1ncccn1,79.08,8,1,6
*NC1=NCCN1,84.1,8,1,6
*C1(O)CCCCC1,99.15,8,1,7
*S(C)(=O)=O,79.1,8,0,4
*CC(C)N,58.1,8,0,4
*c1cccnc1,78.09,8,1,6
*OC(F)F,67.01,7,0,4
*C(=O)[C@@H](N)C(C)C,100.14,7,0,7
*CC#N,40.04,7,0,3
*[C@@H](CC)CO,73.11,7,0,5
*c1ccnc2cc(Cl)ccc12,162.6,7,2,11
*CC(F)(F)F,83.03,7,0,5
*CCCl,63.51,7,0,3
*N1CCNC(C)C1,99.16,7,1,7
