glue_id,smiles,inchikey,linker,source_fragment,mw,clogp,tpsa,hbd,hba,rtb,aromatic_rings,fsp3,qed,pka_basic_est,cns_mpo_proxy,cns_mpo_wager_approx,gate_mw_lt450,gate_clogp_2_4,gate_tpsa_lt90,gate_mpo_ge4,gate_pains_free,gate_anchor,gate_tpsa_lt120_fb,gate_mpo_ge3p5_fb,passes_all_gates,passes_fallback
GLUE0000,O=C1CCC(N2Cc3cccc(NC(=O)c4ccccc4)c3C2=O)C(=O)N1,SJSUTTFUSXJKBB-UHFFFAOYSA-N,amide,*c1ccccc1,363.37,1.7,95.6,2,4,3,2,0.2,0.812,5.0,3.5,5.29,True,False,False,False,True,True,True,True,False,False
GLUE0001,O=C1CCC(N2Cc3cccc(NS(=O)(=O)c4ccccc4)c3C2=O)C(=O)N1,MCDJGVWKUNUNFB-UHFFFAOYSA-N,sulfonamide,*c1ccccc1,399.43,1.25,112.7,2,5,4,2,0.211,0.752,5.0,3.5,4.46,True,False,False,False,True,True,True,True,False,False
GLUE0002,O=C1CCC(N2Cc3cccc(NC(=O)Cc4ccccc4)c3C2=O)C(=O)N1,AGXMYLXZOHVCKD-UHFFFAOYSA-N,acetamide,*c1ccccc1,377.4,1.63,95.6,2,4,4,2,0.238,0.792,5.0,3.5,5.19,True,False,False,False,True,True,True,True,False,False
GLUE0003,O=C1CCC(N2Cc3cccc(NC(=O)Nc4ccccc4)c3C2=O)C(=O)N1,CIPDFIBYKVCCBH-UHFFFAOYSA-N,urea,*c1ccccc1,378.39,2.09,107.6,3,4,3,2,0.2,0.711,5.0,3.5,4.45,True,True,False,False,True,True,True,True,False,True
GLUE0004,O=C1CCC(N2Cc3cccc(NC(=O)Oc4ccccc4)c3C2=O)C(=O)N1,NPHXDIPZUDSLEW-UHFFFAOYSA-N,carbamate,*c1ccccc1,379.37,2.06,104.8,2,5,3,2,0.2,0.795,5.0,3.5,4.87,True,True,False,False,True,True,True,True,False,True
GLUE0005,O=C1CCC(N2Cc3cccc(NC(=O)C(=O)O)c3C2=O)C(=O)N1,LIAFGXHOAUPIAN-UHFFFAOYSA-N,amide,*C(=O)O,331.28,-0.53,132.9,3,5,2,1,0.267,0.493,5.0,3.5,4.17,True,False,False,False,True,True,False,True,False,False
GLUE0006,O=C1CCC(N2Cc3cccc(NS(=O)(=O)C(=O)O)c3C2=O)C(=O)N1,CCVLEXMIWQVVNE-UHFFFAOYSA-N,sulfonamide,*C(=O)O,367.34,-0.13,150.0,3,6,3,1,0.286,0.63,5.0,3.0,4.11,True,False,False,False,True,True,False,False,False,False
GLUE0007,O=C(O)CC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,KPRUHHNMRFOJDZ-UHFFFAOYSA-N,acetamide,*C(=O)O,345.31,-0.14,132.9,3,5,4,1,0.312,0.514,5.0,3.5,4.17,True,False,False,False,True,True,False,True,False,False
GLUE0008,O=C(O)NC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,RPSJQKNYIJPUSD-UHFFFAOYSA-N,urea,*C(=O)O,346.3,0.25,144.9,4,5,2,1,0.267,0.565,5.0,3.0,4.0,True,False,False,False,True,True,False,False,False,False
GLUE0009,O=C1CCC(N2Cc3cccc(NC(=O)OC(=O)O)c3C2=O)C(=O)N1,CXDKFIQZXOTBBF-UHFFFAOYSA-N,carbamate,*C(=O)O,347.28,0.67,142.1,3,6,2,1,0.267,0.405,5.0,3.5,4.17,True,False,False,False,True,True,False,True,False,False
GLUE0010,CC(C)C(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,RULZGSNBCMFFLL-UHFFFAOYSA-N,amide,*C(C)C,329.36,1.04,95.6,2,4,3,1,0.412,0.81,5.0,4.0,5.31,True,False,False,True,True,True,True,True,False,False
GLUE0011,CC(C)S(=O)(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,ASCZPSYPJNOOMN-UHFFFAOYSA-N,sulfonamide,*C(C)C,365.41,0.6,112.7,2,5,4,1,0.438,0.759,5.0,3.5,4.71,True,False,False,False,True,True,True,True,False,False
GLUE0012,CC(C)CC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,DBCSEYOLWVMCPJ-UHFFFAOYSA-N,acetamide,*C(C)C,343.38,1.43,95.6,2,4,4,1,0.444,0.809,5.0,4.0,5.31,True,False,False,True,True,True,True,True,False,False
GLUE0013,CC(C)NC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,ZTSZWBSGDSIZOP-UHFFFAOYSA-N,urea,*C(C)C,344.37,0.98,107.6,3,4,3,1,0.412,0.71,5.0,4.0,4.58,True,False,False,True,True,True,True,True,False,False
GLUE0014,CC(C)OC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,POASSFBIHZDRDS-UHFFFAOYSA-N,carbamate,*C(C)C,345.36,1.4,104.8,2,5,3,1,0.412,0.806,5.0,4.0,5.01,True,False,False,True,True,True,True,True,False,False
