glue_id,smiles,inchikey,linker,source_fragment,mw
GLUE0000,O=C1CCC(N2Cc3cccc(NC(=O)c4ccccc4)c3C2=O)C(=O)N1,SJSUTTFUSXJKBB-UHFFFAOYSA-N,amide,*c1ccccc1,363.37
GLUE0001,O=C1CCC(N2Cc3cccc(NS(=O)(=O)c4ccccc4)c3C2=O)C(=O)N1,MCDJGVWKUNUNFB-UHFFFAOYSA-N,sulfonamide,*c1ccccc1,399.43
GLUE0002,O=C1CCC(N2Cc3cccc(NC(=O)Cc4ccccc4)c3C2=O)C(=O)N1,AGXMYLXZOHVCKD-UHFFFAOYSA-N,acetamide,*c1ccccc1,377.4
GLUE0003,O=C1CCC(N2Cc3cccc(NC(=O)Nc4ccccc4)c3C2=O)C(=O)N1,CIPDFIBYKVCCBH-UHFFFAOYSA-N,urea,*c1ccccc1,378.39
GLUE0004,O=C1CCC(N2Cc3cccc(NC(=O)Oc4ccccc4)c3C2=O)C(=O)N1,NPHXDIPZUDSLEW-UHFFFAOYSA-N,carbamate,*c1ccccc1,379.37
GLUE0005,O=C1CCC(N2Cc3cccc(NC(=O)C(=O)O)c3C2=O)C(=O)N1,LIAFGXHOAUPIAN-UHFFFAOYSA-N,amide,*C(=O)O,331.28
GLUE0006,O=C1CCC(N2Cc3cccc(NS(=O)(=O)C(=O)O)c3C2=O)C(=O)N1,CCVLEXMIWQVVNE-UHFFFAOYSA-N,sulfonamide,*C(=O)O,367.34
GLUE0007,O=C(O)CC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,KPRUHHNMRFOJDZ-UHFFFAOYSA-N,acetamide,*C(=O)O,345.31
GLUE0008,O=C(O)NC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,RPSJQKNYIJPUSD-UHFFFAOYSA-N,urea,*C(=O)O,346.3
GLUE0009,O=C1CCC(N2Cc3cccc(NC(=O)OC(=O)O)c3C2=O)C(=O)N1,CXDKFIQZXOTBBF-UHFFFAOYSA-N,carbamate,*C(=O)O,347.28
GLUE0010,CC(C)C(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,RULZGSNBCMFFLL-UHFFFAOYSA-N,amide,*C(C)C,329.36
GLUE0011,CC(C)S(=O)(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,ASCZPSYPJNOOMN-UHFFFAOYSA-N,sulfonamide,*C(C)C,365.41
GLUE0012,CC(C)CC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,DBCSEYOLWVMCPJ-UHFFFAOYSA-N,acetamide,*C(C)C,343.38
GLUE0013,CC(C)NC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,ZTSZWBSGDSIZOP-UHFFFAOYSA-N,urea,*C(C)C,344.37
GLUE0014,CC(C)OC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,POASSFBIHZDRDS-UHFFFAOYSA-N,carbamate,*C(C)C,345.36
GLUE0015,CN(C)C(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,QHLWGDDHWGCJKP-UHFFFAOYSA-N,amide,*N(C)C,330.34
GLUE0016,CN(C)S(=O)(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,TUCULJZZPBPEEM-UHFFFAOYSA-N,sulfonamide,*N(C)C,366.4
GLUE0017,CN(C)CC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,IEGGAXAGZPZLCY-UHFFFAOYSA-N,acetamide,*N(C)C,344.37
GLUE0018,CN(C)NC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,XPUHMUKOFZUTJR-UHFFFAOYSA-N,urea,*N(C)C,345.36
GLUE0019,CN(C)OC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,LGKYXIPPSNMZIX-UHFFFAOYSA-N,carbamate,*N(C)C,346.34
GLUE0020,CC(=O)C(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,SGKVJCDCHKINRS-UHFFFAOYSA-N,amide,*C(C)=O,329.31
GLUE0021,CC(=O)S(=O)(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,WMWSOGBQXAKEHH-UHFFFAOYSA-N,sulfonamide,*C(C)=O,365.37
GLUE0022,CC(=O)CC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,AEFWKCNGYGPCBG-UHFFFAOYSA-N,acetamide,*C(C)=O,343.34
GLUE0023,CC(=O)NC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,XSGJNOTZRFRYIQ-UHFFFAOYSA-N,urea,*C(C)=O,344.33
GLUE0024,CC(=O)OC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,SWDMRKDRINHZSB-UHFFFAOYSA-N,carbamate,*C(C)=O,345.31
GLUE0025,NC(=O)C(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,MFWPODCMBGDRCE-UHFFFAOYSA-N,amide,*C(N)=O,330.3
GLUE0026,NC(=O)S(=O)(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,BWUJHDUGJUHTBN-UHFFFAOYSA-N,sulfonamide,*C(N)=O,366.36
GLUE0027,NC(=O)CC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,ULVUJSPYZSBISK-UHFFFAOYSA-N,acetamide,*C(N)=O,344.33
GLUE0028,NC(=O)NC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,CYSNKDVWKWEYOC-UHFFFAOYSA-N,urea,*C(N)=O,345.32
GLUE0029,NC(=O)OC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,IATJAIBHRLXJHV-UHFFFAOYSA-N,carbamate,*C(N)=O,346.3
GLUE0030,O=C1CCC(N2Cc3cccc(NC(=O)C4CC4)c3C2=O)C(=O)N1,XRVLKCAGNMYMOG-UHFFFAOYSA-N,amide,*C1CC1,327.34
GLUE0031,O=C1CCC(N2Cc3cccc(NS(=O)(=O)C4CC4)c3C2=O)C(=O)N1,YDQMTTYPWAWWLV-UHFFFAOYSA-N,sulfonamide,*C1CC1,363.4
GLUE0032,O=C1CCC(N2Cc3cccc(NC(=O)CC4CC4)c3C2=O)C(=O)N1,KACGGMYTKFNZAD-UHFFFAOYSA-N,acetamide,*C1CC1,341.37
GLUE0033,O=C1CCC(N2Cc3cccc(NC(=O)NC4CC4)c3C2=O)C(=O)N1,VZGGIIFGOKBKGV-UHFFFAOYSA-N,urea,*C1CC1,342.36
GLUE0034,O=C1CCC(N2Cc3cccc(NC(=O)OC4CC4)c3C2=O)C(=O)N1,CAUIVIMUVSCOEJ-UHFFFAOYSA-N,carbamate,*C1CC1,343.34
GLUE0035,CCCC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,AJAHJTDFOAUUTE-UHFFFAOYSA-N,amide,*CCC,329.36
GLUE0036,CCCS(=O)(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,WLLWOGCPHZUDIN-UHFFFAOYSA-N,sulfonamide,*CCC,365.41
GLUE0037,CCCCC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,PBBPHIJMUFFJMD-UHFFFAOYSA-N,acetamide,*CCC,343.38
GLUE0038,CCCNC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,QKQOQLHOMBNJJB-UHFFFAOYSA-N,urea,*CCC,344.37
GLUE0039,CCCOC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,ONMYHYCWJLHOGQ-UHFFFAOYSA-N,carbamate,*CCC,345.36
GLUE0040,O=C1CCC(N2Cc3cccc(NC(=O)C(F)(F)F)c3C2=O)C(=O)N1,XPQMZIVHTWRAHO-UHFFFAOYSA-N,amide,*C(F)(F)F,355.27
GLUE0041,O=C1CCC(N2Cc3cccc(NS(=O)(=O)C(F)(F)F)c3C2=O)C(=O)N1,IYMJNHZVLWNIQG-UHFFFAOYSA-N,sulfonamide,*C(F)(F)F,391.33
GLUE0042,O=C1CCC(N2Cc3cccc(NC(=O)CC(F)(F)F)c3C2=O)C(=O)N1,YMTDLXHPAMICKG-UHFFFAOYSA-N,acetamide,*C(F)(F)F,369.3
GLUE0043,O=C1CCC(N2Cc3cccc(NC(=O)NC(F)(F)F)c3C2=O)C(=O)N1,OPIJNCBLLHFTQH-UHFFFAOYSA-N,urea,*C(F)(F)F,370.29
GLUE0044,O=C1CCC(N2Cc3cccc(NC(=O)OC(F)(F)F)c3C2=O)C(=O)N1,WWBPLOLKBPDQAU-UHFFFAOYSA-N,carbamate,*C(F)(F)F,371.27
GLUE0045,O=C(O)CS(=O)(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,FMQOUJRFGHXALR-UHFFFAOYSA-N,sulfonamide,*CC(=O)O,381.37
GLUE0046,O=C(O)CCC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,XWURTPFNKLLKQL-UHFFFAOYSA-N,acetamide,*CC(=O)O,359.34
GLUE0047,O=C(O)CNC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,MVCHGDFKABEZIS-UHFFFAOYSA-N,urea,*CC(=O)O,360.33
GLUE0048,O=C(O)COC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,DJFBIOLQDUGMOL-UHFFFAOYSA-N,carbamate,*CC(=O)O,361.31
GLUE0049,O=C1CCC(N2Cc3cccc(NC(=O)CCO)c3C2=O)C(=O)N1,SFSWGYHQQRHSHQ-UHFFFAOYSA-N,amide,*CCO,331.33
GLUE0050,O=C1CCC(N2Cc3cccc(NS(=O)(=O)CCO)c3C2=O)C(=O)N1,JQVIQXLKIPERKQ-UHFFFAOYSA-N,sulfonamide,*CCO,367.38
GLUE0051,O=C1CCC(N2Cc3cccc(NC(=O)CCCO)c3C2=O)C(=O)N1,OXYGKXUDTBTIFX-UHFFFAOYSA-N,acetamide,*CCO,345.36
GLUE0052,O=C1CCC(N2Cc3cccc(NC(=O)NCCO)c3C2=O)C(=O)N1,XWLUKSMFRTXODV-UHFFFAOYSA-N,urea,*CCO,346.34
GLUE0053,O=C1CCC(N2Cc3cccc(NC(=O)OCCO)c3C2=O)C(=O)N1,SJGDRQCIOZRJTO-UHFFFAOYSA-N,carbamate,*CCO,347.33
GLUE0054,O=C1CCC(N2Cc3cccc(NC(=O)c4ccc(F)cc4)c3C2=O)C(=O)N1,IPFUISUQZIVBPV-UHFFFAOYSA-N,amide,*c1ccc(F)cc1,381.36
GLUE0055,O=C1CCC(N2Cc3cccc(NS(=O)(=O)c4ccc(F)cc4)c3C2=O)C(=O)N1,XNKTXQMFQAJJKG-UHFFFAOYSA-N,sulfonamide,*c1ccc(F)cc1,417.42
GLUE0056,O=C1CCC(N2Cc3cccc(NC(=O)Cc4ccc(F)cc4)c3C2=O)C(=O)N1,HPSBMAKEMDXOOW-UHFFFAOYSA-N,acetamide,*c1ccc(F)cc1,395.39
GLUE0057,O=C1CCC(N2Cc3cccc(NC(=O)Nc4ccc(F)cc4)c3C2=O)C(=O)N1,HUMJHMHDGNZTPS-UHFFFAOYSA-N,urea,*c1ccc(F)cc1,396.38
GLUE0058,O=C1CCC(N2Cc3cccc(NC(=O)Oc4ccc(F)cc4)c3C2=O)C(=O)N1,FWWNKAYVTGWVPQ-UHFFFAOYSA-N,carbamate,*c1ccc(F)cc1,397.36
GLUE0059,O=C1CCC(N2Cc3cccc(NC(=O)c4ccc(Cl)cc4)c3C2=O)C(=O)N1,UXUHUTKSXUFTJS-UHFFFAOYSA-N,amide,*c1ccc(Cl)cc1,397.82
