glue_id,smiles,vina_kcal_mol,linker,cns_mpo_proxy
anchor_lenalidomide,O=C1CCC(N2Cc3cccc(N)c3C2=O)C(=O)N1,-5.209,,
GLUE0231,Cc1ccccc1C(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,-6.9,amide,3.5
GLUE0246,Cc1ccc(C(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)cc1,-7.006,amide,3.5
GLUE0692,Cc1cccc(C(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c1,-6.415,amide,3.5
GLUE0004,O=C1CCC(N2Cc3cccc(NC(=O)Oc4ccccc4)c3C2=O)C(=O)N1,-6.15,carbamate,3.5
GLUE1185,CC(C(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2)C(C)(C)C,-6.104,amide,3.5
GLUE0870,CC(C)(C)CCC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,-6.082,acetamide,3.5
GLUE0872,CC(C)(C)COC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,-6.453,carbamate,3.5
GLUE0141,O=C1CCC(N2Cc3cccc(NC(=O)Oc4cccs4)c3C2=O)C(=O)N1,-6.172,carbamate,3.5
GLUE1089,O=C1CCC(N2Cc3cccc(NC(=O)Oc4ccsc4)c3C2=O)C(=O)N1,-5.922,carbamate,3.5
GLUE0103,Cc1cccc(C)c1C(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,-6.355,amide,3.5
GLUE0425,Cc1ccc(C(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c(C)c1,-6.28,amide,3.5
GLUE0597,Cc1cccc(C(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c1C,-6.549,amide,3.5
GLUE1229,Cc1ccc(C(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)cc1C,-6.627,amide,3.5
GLUE2036,Cc1cc(C)cc(C(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c1,-6.67,amide,3.5
GLUE2407,Cc1ccc(C)c(C(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c1,-6.521,amide,3.5
GLUE0090,O=C1CCC(N2Cc3cccc(NC(=O)CC4CCCCC4)c3C2=O)C(=O)N1,-6.242,acetamide,3.5
GLUE0235,Cc1ccccc1OC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,-6.214,carbamate,3.5
GLUE0250,Cc1ccc(OC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)cc1,-6.627,carbamate,3.5
GLUE0696,Cc1cccc(OC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c1,-6.689,carbamate,3.5
GLUE1187,CC(CC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2)C(C)(C)C,-6.067,acetamide,3.5
GLUE0059,O=C1CCC(N2Cc3cccc(NC(=O)c4ccc(Cl)cc4)c3C2=O)C(=O)N1,-6.684,amide,3.5
GLUE0092,O=C1CCC(N2Cc3cccc(NC(=O)OC4CCCCC4)c3C2=O)C(=O)N1,-6.342,carbamate,3.5
GLUE0123,O=C1CCC(N2Cc3cccc(NC(=O)c4ccccc4Cl)c3C2=O)C(=O)N1,-6.864,amide,3.5
GLUE0335,O=C1CCC(N2Cc3cccc(NC(=O)c4cccc(Cl)c4)c3C2=O)C(=O)N1,-6.563,amide,3.5
GLUE1189,CC(OC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2)C(C)(C)C,-6.855,carbamate,3.5
