glue_id,smiles,mw,clogp,tpsa,cns_mpo_proxy,herg_liability_prob,herg_predicted_active
GLUE1589,O=C1CCC(N2Cc3cccc(NC(=O)Oc4ccc5cnccc5c4)c3C2=O)C(=O)N1,430.42,2.61,117.7,3.5,0.38686602103179546,0
GLUE0692,Cc1cccc(C(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c1,377.4,2.01,95.6,3.5,0.3892727793879256,0
GLUE1188,CC(NC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2)C(C)(C)C,386.45,2.0,107.6,3.5,0.39148492058929657,0
GLUE0246,Cc1ccc(C(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)cc1,377.4,2.01,95.6,3.5,0.3953860906797572,0
GLUE0599,Cc1cccc(CC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c1C,405.45,2.25,95.6,3.5,0.3960095701564181,0
GLUE0413,O=C1CCC(N2Cc3cccc(NC(=O)Nc4cc(F)c(F)cc4F)c3C2=O)C(=O)N1,432.36,2.51,107.6,3.5,0.3984798565701806,0
GLUE0105,Cc1cccc(C)c1CC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,405.45,2.25,95.6,3.5,0.4022142422666436,0
GLUE0410,O=C1CCC(N2Cc3cccc(NC(=O)c4cc(F)c(F)cc4F)c3C2=O)C(=O)N1,417.34,2.12,95.6,3.5,0.40504801719764094,0
GLUE0412,O=C1CCC(N2Cc3cccc(NC(=O)Cc4cc(F)c(F)cc4F)c3C2=O)C(=O)N1,431.37,2.05,95.6,3.5,0.4073151028213398,0
GLUE0250,Cc1ccc(OC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)cc1,393.4,2.37,104.8,3.5,0.4088302853022914,0
GLUE0198,CCCC(C)CC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,371.44,2.21,95.6,3.5,0.4089352621624472,0
GLUE0600,Cc1cccc(NC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c1C,406.44,2.71,107.6,3.5,0.4089737972070257,0
GLUE1546,O=C1CCC(N2Cc3cccc(NC(=O)N4CCCCCCC4)c3C2=O)C(=O)N1,398.46,2.25,98.8,3.5,0.41040561925062785,0
GLUE1189,CC(OC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2)C(C)(C)C,387.44,2.43,104.8,3.5,0.41045843770929724,0
GLUE1585,O=C1CCC(N2Cc3cccc(NC(=O)c4ccc5cnccc5c4)c3C2=O)C(=O)N1,414.42,2.25,108.5,3.5,0.4112884681597937,0
GLUE0106,Cc1cccc(C)c1NC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,406.44,2.71,107.6,3.5,0.4124954399989318,0
GLUE0107,Cc1cccc(C)c1OC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,407.43,2.68,104.8,3.5,0.41524341679848137,0
GLUE0414,O=C1CCC(N2Cc3cccc(NC(=O)Oc4cc(F)c(F)cc4F)c3C2=O)C(=O)N1,433.34,2.48,104.8,3.5,0.41545770709682267,0
GLUE2043,CC(C)(CC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2)C(F)(F)F,411.38,2.36,95.6,3.5,0.41717651080492296,0
GLUE0830,CC(C)CCOC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,373.41,2.04,104.8,3.5,0.4185251842510884,0
GLUE1440,O=C1CCC(N2Cc3cccc(NC(=O)Cc4cccc5sccc45)c3C2=O)C(=O)N1,433.49,2.84,95.6,3.5,0.4196668434320149,0
GLUE0141,O=C1CCC(N2Cc3cccc(NC(=O)Oc4cccs4)c3C2=O)C(=O)N1,385.4,2.12,104.8,3.5,0.4202241343175413,0
GLUE0103,Cc1cccc(C)c1C(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,391.43,2.32,95.6,3.5,0.4208411273835929,0
GLUE1202,CCC(CC)CC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,371.44,2.21,95.6,3.5,0.4209594940531079,0
GLUE1587,O=C1CCC(N2Cc3cccc(NC(=O)Cc4ccc5cnccc5c4)c3C2=O)C(=O)N1,428.45,2.18,108.5,3.5,0.422146249332171,0
GLUE0872,CC(C)(C)COC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,373.41,2.04,104.8,3.5,0.42254879576979715,0
GLUE0828,CC(C)CCCC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,371.44,2.21,95.6,3.5,0.42379959610286627,0
GLUE1550,O=C1CCC(N2Cc3cccc(NC(=O)ON4CCCCCCC4)c3C2=O)C(=O)N1,414.46,2.18,108.1,3.5,0.42492500345478096,0
GLUE1229,Cc1ccc(C(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)cc1C,391.43,2.32,95.6,3.5,0.42595325750990104,0
GLUE1233,Cc1ccc(OC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)cc1C,407.43,2.68,104.8,3.5,0.42735789680553504,0
GLUE0200,CCCC(C)OC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,373.41,2.18,104.8,3.5,0.42777222089951583,0
GLUE1421,O=C1CCC(N2Cc3cccc(NC(=O)Nc4cccc5c4CCO5)c3C2=O)C(=O)N1,420.43,2.03,116.8,3.5,0.42833750828277656,0
GLUE1152,C#CC1(CC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)CCCCC1,407.47,2.36,95.6,3.5,0.42937282435914564,0
GLUE1437,O=C1CCC(N2Cc3cccc(NC(=O)Oc4c(F)cccc4F)c3C2=O)C(=O)N1,415.35,2.34,104.8,3.5,0.4302434598819177,0
GLUE2411,Cc1ccc(C)c(OC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c1,407.43,2.68,104.8,3.5,0.4304423693123026,0
GLUE0781,O=C1CCC(N2Cc3cccc(NC(=O)OCC(Cl)(Cl)Cl)c3C2=O)C(=O)N1,434.66,2.37,104.8,3.5,0.43055561030113,0
GLUE0779,O=C1CCC(N2Cc3cccc(NC(=O)CCC(Cl)(Cl)Cl)c3C2=O)C(=O)N1,432.69,2.54,95.6,3.5,0.4317493348271665,0
GLUE2409,Cc1ccc(C)c(CC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c1,405.45,2.25,95.6,3.5,0.4324489438162341,0
GLUE1088,O=C1CCC(N2Cc3cccc(NC(=O)Nc4ccsc4)c3C2=O)C(=O)N1,384.42,2.15,107.6,3.5,0.43275722325358207,0
GLUE0597,Cc1cccc(C(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c1C,391.43,2.32,95.6,3.5,0.43315852030810464,0
GLUE1373,O=C1CCC(N2Cc3cccc(NC(=O)c4ccc5ncccc5c4)c3C2=O)C(=O)N1,414.42,2.25,108.5,3.5,0.43318474173933175,0
GLUE1187,CC(CC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2)C(C)(C)C,385.46,2.46,95.6,3.5,0.43335001208519136,0
GLUE0234,Cc1ccccc1NC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,392.42,2.4,107.6,3.5,0.43359701149464597,0
GLUE0457,O=C1CCC(N2Cc3cccc(NC(=O)Cc4c[nH]c5ccccc45)c3C2=O)C(=O)N1,416.44,2.11,111.4,3.5,0.4339773112609265,0
GLUE1377,O=C1CCC(N2Cc3cccc(NC(=O)Oc4ccc5ncccc5c4)c3C2=O)C(=O)N1,430.42,2.61,117.7,3.5,0.43458361599241224,0
GLUE2724,O=C1CCC(N2Cc3cccc(NC(=O)Oc4ccc(Cl)s4)c3C2=O)C(=O)N1,419.85,2.77,104.8,3.5,0.4349661434123571,0
GLUE1436,O=C1CCC(N2Cc3cccc(NC(=O)Nc4c(F)cccc4F)c3C2=O)C(=O)N1,414.37,2.37,107.6,3.5,0.4364370277504371,0
GLUE2723,O=C1CCC(N2Cc3cccc(NC(=O)Nc4ccc(Cl)s4)c3C2=O)C(=O)N1,418.86,2.81,107.6,3.5,0.4364493064888571,0
GLUE1154,C#CC1(OC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)CCCCC1,409.44,2.33,104.8,3.5,0.436611676232801,0
GLUE0428,Cc1ccc(NC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c(C)c1,406.44,2.71,107.6,3.5,0.4368194404433672,0
GLUE0453,O=C1CCC(N2Cc3cccc(NC(=O)Nc4ccccc4F)c3C2=O)C(=O)N1,396.38,2.23,107.6,3.5,0.4381446053435973,0
GLUE0601,Cc1cccc(OC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c1C,407.43,2.68,104.8,3.5,0.439041238051056,0
GLUE2330,O=C1CCC(N2Cc3cccc(NC(=O)CC(F)(F)C(Cl)Cl)c3C2=O)C(=O)N1,434.23,2.22,95.6,3.5,0.4394694815529584,0
GLUE0422,O=C1CCC(N2Cc3cccc(NC(=O)Cc4c(F)cc(F)cc4F)c3C2=O)C(=O)N1,431.37,2.05,95.6,3.5,0.4402101462517774,0
GLUE2040,Cc1cc(C)cc(OC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c1,407.43,2.68,104.8,3.5,0.44047689408566476,0
GLUE0238,O=C1CCC(N2Cc3cccc(NC(=O)Cc4cccc5ccccc45)c3C2=O)C(=O)N1,427.46,2.78,95.6,3.5,0.44167778275710706,0
GLUE2036,Cc1cc(C)cc(C(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c1,391.43,2.32,95.6,3.5,0.44275522867823963,0
GLUE1204,CCC(CC)OC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,373.41,2.18,104.8,3.5,0.44334006091296935,0
GLUE1185,CC(C(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2)C(C)(C)C,371.44,2.07,95.6,3.5,0.44337167081304374,0
GLUE0427,Cc1ccc(CC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c(C)c1,405.45,2.25,95.6,3.5,0.44463690043842136,0
GLUE0870,CC(C)(C)CCC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,371.44,2.21,95.6,3.5,0.4456030400522419,0
GLUE1506,CC1(C)C2CCC(C2)C1(C)C(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,423.51,2.85,95.6,3.5,0.44580593229092486,0
GLUE1089,O=C1CCC(N2Cc3cccc(NC(=O)Oc4ccsc4)c3C2=O)C(=O)N1,385.4,2.12,104.8,3.5,0.44583262406465957,0
GLUE1791,O=C1CCC(N2Cc3cccc(NC(=O)Oc4cccc(Cl)n4)c3C2=O)C(=O)N1,414.81,2.11,117.7,3.5,0.44607202827914594,0
GLUE0429,Cc1ccc(OC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c(C)c1,407.43,2.68,104.8,3.5,0.4466334025285827,0
GLUE2245,O=C1CCC(N2Cc3cccc(NC(=O)Cc4cccc5[nH]ccc45)c3C2=O)C(=O)N1,416.44,2.11,111.4,3.5,0.44823847863505667,0
GLUE0903,Cc1[nH]c2ccccc2c1C(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,416.44,2.49,111.4,3.5,0.44914775683416647,0
GLUE0425,Cc1ccc(C(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c(C)c1,391.43,2.32,95.6,3.5,0.4505294225453401,0
GLUE2038,Cc1cc(C)cc(CC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c1,405.45,2.25,95.6,3.5,0.45079407355299655,0
GLUE2720,O=C1CCC(N2Cc3cccc(NC(=O)c4ccc(Cl)s4)c3C2=O)C(=O)N1,403.85,2.41,95.6,3.5,0.45082581378347736,0
GLUE2733,O=C1CCC(N2Cc3cccc(NC(=O)Nc4cccc(Cl)c4F)c3C2=O)C(=O)N1,430.82,2.88,107.6,3.5,0.4511995488441106,0
GLUE1253,O=C1CCC(N2Cc3cccc(NC(=O)c4ccc5c(c4)CCC5)c3C2=O)C(=O)N1,403.44,2.19,95.6,3.5,0.45177976969329836,0
GLUE2410,Cc1ccc(C)c(NC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c1,406.44,2.71,107.6,3.5,0.45267490191827314,0
GLUE1925,O=C1CCC(N2Cc3cccc(NC(=O)c4ccc5c(c4)OC(F)(F)O5)c3C2=O)C(=O)N1,443.36,2.02,114.0,3.5,0.4534984568559634,0
