glue_id,smiles,vina_ontarget_8rqc,vina_drd2,vina_htr2a,vina_herg
GLUE0231,Cc1ccccc1C(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,-6.9,-10.352,-11.233,-9.669
GLUE0246,Cc1ccc(C(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)cc1,-7.006,-10.993,-10.179,-8.715
GLUE0692,Cc1cccc(C(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c1,-6.415,-10.437,-10.425,-9.441
GLUE0004,O=C1CCC(N2Cc3cccc(NC(=O)Oc4ccccc4)c3C2=O)C(=O)N1,-6.15,-10.141,-10.31,-9.006
GLUE1185,CC(C(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2)C(C)(C)C,-6.104,-8.904,-10.038,-8.461
GLUE0870,CC(C)(C)CCC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,-6.082,-9.619,-9.896,-8.2
GLUE0872,CC(C)(C)COC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,-6.453,-9.068,-9.375,-8.066
GLUE0141,O=C1CCC(N2Cc3cccc(NC(=O)Oc4cccs4)c3C2=O)C(=O)N1,-6.172,-9.626,-9.602,-8.821
GLUE1089,O=C1CCC(N2Cc3cccc(NC(=O)Oc4ccsc4)c3C2=O)C(=O)N1,-5.922,-9.232,-9.88,-8.774
GLUE0103,Cc1cccc(C)c1C(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,-6.355,-11.401,-9.711,-9.009
GLUE0425,Cc1ccc(C(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c(C)c1,-6.28,-11.071,-9.735,-8.665
GLUE0597,Cc1cccc(C(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c1C,-6.549,-10.585,-10.546,-9.245
GLUE1229,Cc1ccc(C(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)cc1C,-6.627,-11.155,-10.448,-8.89
GLUE2036,Cc1cc(C)cc(C(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c1,-6.67,-10.548,-9.427,-8.675
GLUE2407,Cc1ccc(C)c(C(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c1,-6.521,-11.098,-10.209,-8.865
GLUE0090,O=C1CCC(N2Cc3cccc(NC(=O)CC4CCCCC4)c3C2=O)C(=O)N1,-6.242,-9.914,-10.599,-9.009
GLUE0235,Cc1ccccc1OC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,-6.214,-9.999,-10.901,-9.556
GLUE0250,Cc1ccc(OC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)cc1,-6.627,-11.637,-11.072,-9.677
GLUE0696,Cc1cccc(OC(=O)Nc2cccc3c2C(=O)N(C2CCC(=O)NC2=O)C3)c1,-6.689,-11.59,-11.221,-9.237
GLUE1187,CC(CC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2)C(C)(C)C,-6.067,-10.226,-9.934,-8.231
GLUE0059,O=C1CCC(N2Cc3cccc(NC(=O)c4ccc(Cl)cc4)c3C2=O)C(=O)N1,-6.684,-10.652,-9.797,-8.676
GLUE0092,O=C1CCC(N2Cc3cccc(NC(=O)OC4CCCCC4)c3C2=O)C(=O)N1,-6.342,-10.121,-10.577,-9.017
GLUE0123,O=C1CCC(N2Cc3cccc(NC(=O)c4ccccc4Cl)c3C2=O)C(=O)N1,-6.864,-10.407,-10.867,-8.779
GLUE0335,O=C1CCC(N2Cc3cccc(NC(=O)c4cccc(Cl)c4)c3C2=O)C(=O)N1,-6.563,-10.411,-9.884,-8.428
GLUE1189,CC(OC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2)C(C)(C)C,-6.855,-9.015,-9.759,-8.785
